Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 26,7/3/2021,Atl. Madrid,1,5,0,0,Real Madrid,1,1,0,0,Alejandro Hernandez,5.51,0.27,Cívitas Metropolitano,"Madrid, Spain",
Round 26,7/3/2021,Real Sociedad,1,0,0,0,Levante,0,2,0,0,Cesar Soto Grado,5.5,0.2,Reale Arena,"San Sebastian, Spain",
Round 26,7/3/2021,Athletic Club,2,2,0,0,Granada,1,2,0,0,Juan Martinez Munuera,4.9,0.19,San Mamés,"Bilbao, Spain",
Round 26,8/3/2021,Betis,3,0,0,0,Alavés,2,3,0,0,Javier Alberola Rojas,3.7,0.15,Benito Villamarin,"Seville, Spain",
Round 25,26/02/21,Levante,1,4,0,0,Athletic Club,1,1,1,0,Isidro Diaz de Mera Escuderos,6.35,0.35,Ciudad de Valencia,"Valencia, Spain",
Round 25,27/02/21,Eibar,1,2,0,0,Huesca,1,2,0,0,Pablo Gonzales Fuertes,5.91,0.37,Ipurua Municipal Stadium,"Eibar, Spain",
Round 25,27/02/21,Sevilla,0,5,0,0,Barcelona,2,2,0,0,Alejandro Hernandez,5.51,0.27,Ramón Sánchez Pizjuán,"Seville, Spain",
Round 25,27/02/21,Alavés,0,3,0,0,Osasuna,1,4,0,0,Jose Maria Sanchez Martinez,5.75,0.27,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",
Round 25,27/02/21,Getafe,3,5,0,0,Valencia,0,2,1,0,Jorge Figueroa Vazquez,4.82,0.36,Coliseum Alfonso Pérez,"Getafe, Spain",
Round 25,28/02/21,Celta,1,3,0,0,Real Valladolid,1,5,0,0,David Medie Jimenez,4.94,0.31,Municipal de Balaidos,"Vigo, Spain",
Round 25,28/02/21,Cádiz,0,1,0,0,Betis,1,2,0,0,Antonio Mateu Lahoz,5.18,0.22,Estadio Ramon de Carranza,"Cadiz, Spain",
Round 25,28/02/21,Granada,2,3,0,0,Elche,1,2,0,0,Santiago Jaime Latre,5.58,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",
Round 25,28/02/21,Villarreal,0,2,0,0,Atl. Madrid,2,3,0,0,Ricardo De Burgos Bengoetxea,4.95,0.17,Estadio de la Ceramica,"Villarreal, Spain",
Round 25,1/3/2021,Real Madrid,1,0,0,0,Real Sociedad,1,1,0,0,Jesus Gil Manzano,5.27,0.26,Estadio Alfredo di Stefano,"Madrid, Spain",
Round 24,19/02/21,Betis,1,4,0,1,Getafe,0,4,0,0,Javier Estrada Fernandez,5.38,0.25,Benito Villamarin,"Seville, Spain",
Round 24,20/02/21,Elche,1,2,0,0,Eibar,0,1,0,0,Adrian Cordero Vega,5.32,0.22,Estadio Martínez Valero,"Elche, Spain",
Round 24,20/02/21,Atl. Madrid,0,2,0,0,Levante,2,3,0,0,Mario Melero Lopez,5.55,0.21,Cívitas Metropolitano,"Madrid, Spain",
Round 24,20/02/21,Valencia,2,2,0,0,Celta,0,3,1,0,Valentin Pizarro Gomez,5.04,0.33,Mestalla,"Valencia, Spain",
Round 24,20/02/21,Real Valladolid,0,4,0,0,Real Madrid,1,2,0,0,Guillermo Cuadra Fernandez,5.03,0.27,José Zorrilla,"Valladolid, Spain",
