Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 38,4/6/2023,Mallorca,3,0,0,0,Rayo Vallecano,0,0,0,0,Antonio Mateu Lahoz,5.17,0.22,Estadi de Son Moix,"Palma, Spain",14521.0
Round 38,4/6/2023,Osasuna,2,1,0,0,Girona,1,5,0,0,Miguel Angel Ortiz Arias,5.1,0.35,Estadio El Sadar,"Pamplona, Spain",22128.0
Round 38,4/6/2023,Real Madrid,1,2,0,0,Athletic Club,1,2,0,0,Isidro Diaz de Mera Escuderos,6.29,0.35,Santiago Bernabéu,"Madrid, Spain",60781.0
Round 38,4/6/2023,Real Sociedad,2,0,0,0,Sevilla,1,1,0,0,Carlos Del Cerro Grande,4.81,0.22,Reale Arena,"San Sebastian, Spain",35065.0
Round 38,4/6/2023,Villarreal,2,3,0,0,Atl. Madrid,2,2,1,0,Ricardo De Burgos Bengoetxea,4.97,0.18,Estadio de la Ceramica,"Villarreal, Spain",18226.0
Round 38,4/6/2023,Celta,2,2,0,0,Barcelona,1,2,0,0,Juan Luis Pulido Santana,4.88,0.28,Municipal de Balaidos,"Vigo, Spain",23365.0
Round 38,4/6/2023,Elche,1,4,0,0,Cádiz,1,3,0,0,Jesus Gil Manzano,5.27,0.26,Estadio Martínez Valero,"Elche, Spain",16585.0
Round 38,4/6/2023,Espanyol,3,2,0,0,Almería,3,4,0,0,Cesar Soto Grado,5.47,0.2,RCDE Stadium,"Cornella, Spain",14213.0
Round 38,4/6/2023,Betis,1,3,0,0,Valencia,1,0,1,0,Javier Alberola Rojas,3.7,0.15,Benito Villamarin,"Seville, Spain",54087.0
Round 38,4/6/2023,Real Valladolid,0,1,0,0,Getafe,0,3,0,0,José Luis Munuera Montero,4.75,0.37,José Zorrilla,"Valladolid, Spain",25517.0
Round 37,27/05/23,Sevilla,1,2,1,0,Real Madrid,2,4,0,0,Cesar Soto Grado,5.47,0.2,Ramón Sánchez Pizjuán,"Seville, Spain",29856.0
Round 37,28/05/23,Almería,0,0,0,0,Real Valladolid,0,4,0,0,Javier Alberola Rojas,3.7,0.15,Estadio del Mediterráneo,"Almeria, Spain",14608.0
Round 37,28/05/23,Athletic Club,0,1,0,0,Elche,1,1,0,0,Valentin Pizarro Gomez,5.01,0.32,San Mamés,"Bilbao, Spain",37807.0
Round 37,28/05/23,Atl. Madrid,2,2,0,0,Real Sociedad,1,2,0,0,Juan Luis Pulido Santana,4.88,0.28,Cívitas Metropolitano,"Madrid, Spain",56169.0
Round 37,28/05/23,Barcelona,3,0,0,0,Mallorca,0,0,1,0,Jorge Figueroa Vazquez,4.8,0.36,Spotify Camp Nou,"Barcelona, Spain",88775.0
Round 37,28/05/23,Cádiz,1,9,0,0,Celta,0,6,0,0,Alejandro Hernandez,5.55,0.27,Estadio Ramon de Carranza,"Cadiz, Spain",19725.0
Round 37,28/05/23,Getafe,2,4,0,0,Osasuna,1,1,0,0,Antonio Mateu Lahoz,5.17,0.22,Coliseum Alfonso Pérez,"Getafe, Spain",13510.0
Round 37,28/05/23,Girona,1,0,0,0,Betis,2,1,0,0,Isidro Diaz de Mera Escuderos,6.29,0.35,Estadi Montilivi,"Girona, Spain",12833.0
Round 37,28/05/23,Rayo Vallecano,2,3,0,0,Villarreal,1,4,0,0,Javier Iglesias Villanueva,4.83,0.29,Estadio de Vallecas,"Madrid, Spain",11085.0
Round 37,28/05/23,Valencia,2,0,0,0,Espanyol,2,3,0,0,Jesus Gil Manzano,5.27,0.26,Mestalla,"Valencia, Spain",44141.0
Round 36,23/05/23,Celta,1,0,0,0,Girona,1,0,0,0,Antonio Mateu Lahoz,5.17,0.22,Municipal de Balaidos,"Vigo, Spain",14117.0
Round 36,23/05/23,Real Sociedad,1,0,0,0,Almería,0,1,1,0,Pablo Gonzales Fuertes,5.87,0.37,Reale Arena,"San Sebastian, Spain",31574.0
Round 36,23/05/23,Real Valladolid,3,1,0,0,Barcelona,1,0,0,0,Cesar Soto Grado,5.47,0.2,José Zorrilla,"Valladolid, Spain",22341.0
Round 36,24/05/23,Elche,1,1,0,0,Sevilla,1,4,1,0,Isidro Diaz de Mera Escuderos,6.29,0.35,Estadio Martínez Valero,"Elche, Spain",13263.0
Round 36,24/05/23,Real Madrid,2,1,0,0,Rayo Vallecano,1,3,0,0,Jesus Gil Manzano,5.27,0.26,Santiago Bernabéu,"Madrid, Spain",45811.0
Round 36,24/05/23,Villarreal,2,1,0,0,Cádiz,0,2,0,0,Juan Luis Pulido Santana,4.88,0.28,Estadio de la Ceramica,"Villarreal, Spain",15099.0
Round 36,24/05/23,Espanyol,3,2,0,0,Atl. Madrid,3,3,0,0,Mario Melero Lopez,5.54,0.21,RCDE Stadium,"Cornella, Spain",25822.0
Round 36,24/05/23,Betis,0,2,1,0,Getafe,1,5,0,0,Ricardo De Burgos Bengoetxea,4.97,0.18,Benito Villamarin,"Seville, Spain",40289.0
Round 36,25/05/23,Mallorca,1,4,0,0,Valencia,0,2,0,0,Alejandro Hernandez,5.55,0.27,Estadi de Son Moix,"Palma, Spain",14631.0
Round 36,25/05/23,Osasuna,2,3,0,0,Athletic Club,0,3,0,0,Alejandro Muniz Ruiz,5.38,0.48,Estadio El Sadar,"Pamplona, Spain",19830.0
Round 35,19/05/23,Cádiz,2,4,0,0,Real Valladolid,0,4,1,0,Juan Martinez Munuera,4.91,0.19,Estadio Ramon de Carranza,"Cadiz, Spain",18938.0
Round 35,20/05/23,Girona,1,2,0,0,Villarreal,2,1,0,0,Valentin Pizarro Gomez,5.01,0.32,Estadi Montilivi,"Girona, Spain",11649.0
Round 35,20/05/23,Athletic Club,2,4,0,0,Celta,1,1,0,0,Mario Melero Lopez,5.54,0.21,San Mamés,"Bilbao, Spain",40759.0
Round 35,20/05/23,Almería,3,1,0,0,Mallorca,0,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Estadio del Mediterráneo,"Almeria, Spain",12791.0
Round 35,20/05/23,Getafe,1,4,0,0,Elche,1,1,0,0,Javier Iglesias Villanueva,4.83,0.29,Coliseum Alfonso Pérez,"Getafe, Spain",13927.0
Round 35,20/05/23,Barcelona,1,4,0,0,Real Sociedad,2,4,0,0,Antonio Alberola Rojas,4.22,0.22,Spotify Camp Nou,"Barcelona, Spain",88049.0
Round 35,21/05/23,Rayo Vallecano,1,2,0,0,Espanyol,2,2,0,0,Alejandro Hernandez,5.55,0.27,Estadio de Vallecas,"Madrid, Spain",12142.0
Round 35,21/05/23,Atl. Madrid,3,0,0,0,Osasuna,0,2,0,0,Pablo Gonzales Fuertes,5.87,0.37,Cívitas Metropolitano,"Madrid, Spain",57012.0
