Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 26,28/02/16,Barcelona,2,3,0,0,Sevilla,1,2,0,0,Santiago Jaime Latre,5.58,0.22,Spotify Camp Nou,"Barcelona, Spain",79684
Round 25,19/02/16,Levante,3,2,0,0,Getafe,0,2,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Ciudad de Valencia,"Valencia, Spain",13665
Round 25,20/02/16,Las Palmas,1,1,0,0,Barcelona,2,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Gran Canaria,"Las Palmas de Gran Canaria, Spain",26951
Round 25,20/02/16,Espanyol,1,3,0,0,Deportivo,0,1,0,0,Ricardo De Burgos Bengoetxea,4.96,0.17,RCDE Stadium,"Cornella, Spain",28455
Round 25,20/02/16,Betis,1,2,0,0,Sporting,1,3,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Benito Villamarin,"Seville, Spain",41345
Round 25,20/02/16,Celta,3,3,0,0,Eibar,2,2,0,0,Mario Melero Lopez,5.55,0.21,Municipal de Balaidos,"Vigo, Spain",14724
Round 25,21/02/16,Rayo Vallecano,2,6,0,0,Sevilla,2,2,0,0,Javier Estrada Fernandez,5.38,0.25,Estadio de Vallecas,"Madrid, Spain",12375
Round 25,21/02/16,Málaga,1,5,0,0,Real Madrid,1,2,0,0,Ignacio Iglesias Villanueva,5.62,0.35,La Rosaleda,"Malaga, Spain",28198
Round 25,21/02/16,Athletic Club,0,7,0,0,Real Sociedad,1,6,0,0,Jose Maria Sanchez Martinez,5.74,0.28,San Mamés,"Bilbao, Spain",47603
Round 25,21/02/16,Granada,1,2,0,0,Valencia,2,3,0,0,Inaki Vicandi Garrido,4.39,0.32,Estadio Nuevo Los Carmenes,"Granada, Spain",14735
Round 25,21/02/16,Atl. Madrid,0,2,0,0,Villarreal,0,2,0,0,Eduardo Prieto Iglesias,4.81,0.21,Vicente Calderón,"Madrid, Spain",45323
Round 24,12/2/2016,Sporting,2,3,0,0,Rayo Vallecano,2,4,0,0,Carlos Clos Gomez,5.33,0.3,El Molinón,"Gijon, Spain",21987
Round 24,13/02/16,Real Madrid,4,2,0,1,Athletic Club,2,2,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Santiago Bernabéu,"Madrid, Spain",77364
Round 24,13/02/16,Villarreal,1,2,0,0,Málaga,0,1,0,0,Inaki Vicandi Garrido,4.39,0.32,Estadio de la Ceramica,"Villarreal, Spain",17142
Round 24,13/02/16,Valencia,2,1,0,0,Espanyol,1,3,0,0,Carlos Del Cerro Grande,4.81,0.22,Mestalla,"Valencia, Spain",34689
