AwayAerialswon,AwayBallpossession,AwayDuelswon,AwayFouls,AwayInterceptions,AwayPossessionlost,AwayTackles,AwayTeam,Date,HomeAerialswon,HomeBallpossession,HomeDuelswon,HomeFouls,HomeInterceptions,HomePossessionlost,HomeTackles,HomeTeam,Round
36,50%,72,19,16,185,19,Getafe,6/3/2021,33,50%,66,16,12,173,11,Real Valladolid,Round 26
11,63%,53,11,10,109,18,Sevilla,6/3/2021,15,37%,46,16,13,118,12,Elche,Round 26
27,68%,52,11,4,175,12,Eibar,6/3/2021,28,32%,56,7,9,159,12,Cádiz,Round 26
9,63%,38,12,11,119,14,Barcelona,6/3/2021,11,37%,36,4,8,128,12,Osasuna,Round 26
15,50%,42,21,6,133,12,Celta,7/3/2021,23,50%,73,12,8,152,8,Huesca,Round 26
9,61%,50,9,8,132,17,Real Madrid,7/3/2021,8,39%,49,19,8,112,22,Atl. Madrid,Round 26
15,48%,43,14,14,134,11,Levante,7/3/2021,24,52%,67,13,10,132,23,Real Sociedad,Round 26
26,51%,50,10,13,154,8,Granada,7/3/2021,17,49%,48,10,9,158,13,Athletic Club,Round 26
25,23%,61,11,13,110,19,Alavés,8/3/2021,15,77%,44,13,5,135,10,Betis,Round 26
15,55%,39,13,6,129,8,Athletic Club,26/02/21,5,45%,35,11,16,123,9,Levante,Round 25
25,45%,58,11,13,157,10,Huesca,27/02/21,24,55%,51,19,9,140,12,Eibar,Round 25
9,56%,62,9,15,114,18,Barcelona,27/02/21,12,44%,46,20,14,121,16,Sevilla,Round 25
28,47%,65,20,9,161,11,Osasuna,27/02/21,25,53%,58,18,7,160,12,Alavés,Round 25
29,58%,71,12,11,161,15,Valencia,27/02/21,22,42%,58,21,7,162,11,Getafe,Round 25
18,34%,64,20,17,149,18,Real Valladolid,28/02/21,23,66%,64,20,14,150,16,Celta,Round 25
20,65%,51,13,13,145,14,Betis,28/02/21,16,35%,58,9,9,143,16,Cádiz,Round 25
26,57%,61,12,10,171,22,Elche,28/02/21,25,43%,62,14,14,158,15,Granada,Round 25
11,36%,59,19,17,125,22,Atl. Madrid,28/02/21,11,64%,55,15,8,142,11,Villarreal,Round 25
16,40%,39,10,8,113,12,Real Sociedad,1/3/2021,15,60%,46,6,5,115,14,Real Madrid,Round 25
30,35%,67,18,9,156,15,Getafe,19/02/21,17,65%,68,17,10,150,21,Betis,Round 24
21,52%,54,9,8,175,9,Eibar,20/02/21,26,48%,62,16,12,157,17,Elche,Round 24
