AwayAerialswon,AwayBallpossession,AwayDuelswon,AwayFouls,AwayInterceptions,AwayPossessionlost,AwayTackles,AwayTeam,Date,HomeAerialswon,HomeBallpossession,HomeDuelswon,HomeFouls,HomeInterceptions,HomePossessionlost,HomeTackles,HomeTeam,Round
5,54%,40,7,8,109,15,Atl. Madrid,18/05/19,10,46%,53,9,8,110,22,Levante,Round 38
13,63%,54,13,3,146,17,Real Sociedad,18/05/19,13,37%,54,13,10,118,19,Espanyol,Round 38
20,60%,62,20,5,159,19,Villarreal,18/05/19,21,40%,70,16,11,155,18,Getafe,Round 38
9,51%,52,10,6,117,16,Valencia,18/05/19,10,49%,52,12,12,120,16,Real Valladolid,Round 38
38,54%,73,19,7,165,19,Athletic Club,18/05/19,35,46%,71,14,13,172,19,Sevilla,Round 38
11,55%,51,20,16,127,11,Rayo Vallecano,18/05/19,13,45%,57,16,7,125,17,Celta,Round 38
24,57%,62,10,12,148,17,Girona,18/05/19,17,43%,58,13,12,146,22,Alavés,Round 38
22,50%,74,12,10,160,27,Leganés,18/05/19,19,50%,49,18,12,153,7,Huesca,Round 38
4,53%,54,10,10,116,24,Betis,19/05/19,5,47%,37,18,10,116,11,Real Madrid,Round 38
29,61%,63,5,12,128,10,Barcelona,19/05/19,18,39%,35,17,13,144,9,Eibar,Round 38
22,49%,60,18,5,131,16,Celta,12/5/2019,29,51%,60,16,9,122,15,Athletic Club,Round 37
9,52%,50,12,6,111,16,Sevilla,12/5/2019,15,48%,46,16,10,109,13,Atl. Madrid,Round 37
18,21%,59,13,21,139,24,Getafe,12/5/2019,12,79%,46,9,13,152,10,Barcelona,Round 37
23,41%,67,16,13,167,22,Levante,12/5/2019,21,59%,83,15,9,172,29,Girona,Round 37
14,54%,44,9,7,116,15,Espanyol,12/5/2019,15,46%,36,11,6,128,11,Leganés,Round 37
16,30%,50,9,7,132,16,Real Valladolid,12/5/2019,18,70%,58,13,9,131,15,Rayo Vallecano,Round 37
14,39%,51,15,9,105,20,Huesca,12/5/2019,10,61%,45,13,8,112,10,Betis,Round 37
8,46%,51,16,11,110,14,Real Madrid,12/5/2019,8,54%,50,12,10,111,10,Real Sociedad,Round 37
26,57%,48,14,10,164,10,Alavés,12/5/2019,31,43%,74,9,8,137,23,Valencia,Round 37
27,59%,59,14,4,168,17,Eibar,12/5/2019,22,41%,56,11,11,157,11,Villarreal,Round 37
32,36%,65,23,11,144,18,Leganés,3/5/2019,17,64%,77,11,16,157,17,Sevilla,Round 36
9,66%,61,12,9,124,13,Rayo Vallecano,4/5/2019,17,34%,56,17,10,111,23,Levante,Round 36
9,51%,50,14,15,116,25,Atl. Madrid,4/5/2019,12,49%,44,11,9,119,12,Espanyol,Round 36
21,50%,48,22,8,161,9,Real Sociedad,4/5/2019,35,50%,84,7,17,174,20,Alavés,Round 36
9,66%,36,13,3,99,8,Barcelona,4/5/2019,14,34%,43,11,6,96,13,Celta,Round 36
20,60%,58,13,9,159,17,Girona,5/5/2019,32,40%,70,15,10,168,11,Getafe,Round 36
16,55%,58,7,10,173,13,Betis,5/5/2019,24,45%,71,15,9,151,28,Eibar,Round 36
9,41%,50,14,10,116,20,Villarreal,5/5/2019,3,59%,54,9,9,125,21,Real Madrid,Round 36
32,60%,69,22,2,135,15,Athletic Club,5/5/2019,23,40%,60,14,8,134,11,Real Valladolid,Round 36
11,49%,39,9,17,116,12,Valencia,5/5/2019,19,51%,39,10,15,122,10,Huesca,Round 36
25,38%,60,17,6,143,20,Alavés,27/04/19,37,62%,68,14,12,160,9,Athletic Club,Round 35
21,42%,70,12,8,124,22,Real Valladolid,27/04/19,26,58%,61,19,14,134,15,Atl. Madrid,Round 35
21,53%,55,5,8,157,13,Celta,27/04/19,28,47%,54,16,10,154,14,Leganés,Round 35
8,38%,44,12,8,127,15,Levante,27/04/19,4,62%,53,17,5,118,19,Barcelona,Round 35
22,52%,58,15,14,158,22,Eibar,28/04/19,28,48%,64,10,16,162,16,Valencia,Round 35
24,57%,64,18,14,158,15,Sevilla,28/04/19,28,43%,84,12,10,141,29,Girona,Round 35
15,50%,52,14,11,201,17,Getafe,28/04/19,35,50%,66,17,8,169,11,Real Sociedad,Round 35
22,54%,75,22,11,159,31,Huesca,28/04/19,22,46%,76,15,7,155,22,Villarreal,Round 35
13,52%,68,6,7,116,22,Real Madrid,28/04/19,19,48%,53,21,6,131,15,Rayo Vallecano,Round 35
16,47%,46,14,6,110,11,Espanyol,29/04/19,15,53%,56,16,2,119,11,Betis,Round 35
33,53%,70,16,8,193,21,Eibar,23/04/19,28,47%,60,16,9,191,14,Huesca,Round 34
23,50%,53,17,13,141,7,Girona,23/04/19,19,50%,55,17,7,137,12,Real Valladolid,Round 34
17,77%,62,9,3,138,16,Barcelona,23/04/19,13,23%,48,19,15,110,20,Alavés,Round 34
11,44%,48,13,12,114,10,Valencia,24/04/19,10,56%,53,17,11,110,24,Atl. Madrid,Round 34
8,52%,39,8,6,138,9,Celta,24/04/19,18,48%,41,15,9,130,11,Espanyol,Round 34
32,44%,61,14,14,148,15,Athletic Club,24/04/19,33,56%,67,11,7,175,12,Leganés,Round 34
5,71%,46,15,13,90,20,Betis,24/04/19,6,29%,39,9,12,101,11,Levante,Round 34
17,51%,57,12,20,133,16,Rayo Vallecano,25/04/19,12,49%,59,10,6,147,21,Sevilla,Round 34
14,35%,58,14,11,125,25,Villarreal,25/04/19,15,65%,57,11,13,128,15,Real Sociedad,Round 34
25,68%,79,15,8,148,17,Real Madrid,25/04/19,15,32%,62,17,10,156,20,Getafe,Round 34
33,54%,62,16,13,171,11,Real Valladolid,19/04/19,37,46%,71,17,6,162,13,Alavés,Round 33
18,38%,52,10,7,120,19,Girona,20/04/19,14,62%,54,7,6,135,18,Celta,Round 33
31,49%,68,12,7,160,22,Atl. Madrid,20/04/19,27,51%,56,11,5,166,14,Eibar,Round 33
26,44%,74,10,11,179,32,Huesca,20/04/19,31,56%,74,12,7,183,20,Rayo Vallecano,Round 33
10,51%,40,12,11,126,14,Real Sociedad,20/04/19,15,49%,49,11,12,129,13,Barcelona,Round 33
10,50%,55,15,13,141,24,Espanyol,21/04/19,19,50%,51,13,19,168,10,Levante,Round 33
22,65%,62,15,9,158,14,Sevilla,21/04/19,27,35%,58,19,13,144,13,Getafe,Round 33
16,44%,60,16,15,132,24,Athletic Club,21/04/19,11,56%,68,12,10,135,22,Real Madrid,Round 33
29,34%,57,15,19,124,18,Leganés,21/04/19,13,66%,42,12,8,148,7,Villarreal,Round 33
7,35%,42,13,12,97,10,Valencia,21/04/19,17,65%,39,19,5,116,6,Betis,Round 33
29,44%,59,17,12,145,14,Alavés,13/04/19,25,56%,66,12,8,153,11,Espanyol,Round 32
10,75%,62,13,8,145,24,Barcelona,13/04/19,12,25%,74,18,10,142,40,Huesca,Round 32
12,44%,69,15,9,119,27,Celta,13/04/19,13,56%,55,9,13,120,19,Atl. Madrid,Round 32
20,62%,54,8,11,134,13,Betis,13/04/19,10,38%,42,18,7,133,17,Sevilla,Round 32
31,41%,72,18,8,169,9,Getafe,14/04/19,30,59%,69,22,10,173,14,Real Valladolid,Round 32
19,54%,70,16,13,159,21,Rayo Vallecano,14/04/19,18,46%,75,10,11,147,32,Athletic Club,Round 32
33,64%,79,18,7,190,24,Eibar,14/04/19,32,36%,69,15,12,191,14,Real Sociedad,Round 32
19,42%,55,11,11,116,16,Villarreal,14/04/19,17,58%,52,12,6,139,15,Girona,Round 32
12,47%,42,19,8,120,14,Levante,14/04/19,11,53%,50,12,11,117,13,Valencia,Round 32
13,71%,50,12,7,125,13,Real Madrid,15/04/19,17,29%,44,11,11,138,13,Leganés,Round 32
13,45%,55,20,9,118,12,Espanyol,6/4/2019,14,55%,54,23,7,120,13,Girona,Round 31
19,44%,58,15,16,172,17,Eibar,6/4/2019,23,56%,73,9,12,160,22,Real Madrid,Round 31
16,48%,61,10,9,165,22,Valencia,6/4/2019,19,52%,58,17,9,141,19,Rayo Vallecano,Round 31
17,36%,71,12,18,117,31,Atl. Madrid,6/4/2019,9,64%,50,14,12,122,14,Barcelona,Round 31
20,55%,52,15,4,166,9,Leganés,7/4/2019,43,45%,74,17,11,171,11,Alavés,Round 31
39,52%,74,18,10,200,20,Athletic Club,7/4/2019,33,48%,72,16,14,197,15,Getafe,Round 31
25,61%,57,12,9,142,8,Sevilla,7/4/2019,22,39%,58,17,11,139,16,Real Valladolid,Round 31
13,52%,46,11,8,140,12,Real Sociedad,7/4/2019,22,48%,67,16,8,129,31,Celta,Round 31
18,45%,77,12,9,133,31,Huesca,7/4/2019,12,55%,44,22,12,155,14,Levante,Round 31
13,44%,52,14,13,119,16,Villarreal,7/4/2019,12,56%,55,15,7,109,13,Betis,Round 31
14,52%,47,9,8,124,12,Girona,2/4/2019,30,48%,72,10,14,136,19,Atl. Madrid,Round 30
26,50%,55,14,10,173,11,Getafe,2/4/2019,28,50%,54,14,6,167,9,Espanyol,Round 30
5,68%,33,10,10,104,12,Barcelona,2/4/2019,10,32%,40,10,11,92,16,Villarreal,Round 30
13,60%,56,14,6,157,17,Levante,3/4/2019,24,40%,76,13,9,132,32,Athletic Club,Round 30
25,55%,72,9,12,209,22,Rayo Vallecano,3/4/2019,34,45%,68,14,12,193,18,Eibar,Round 30
19,48%,67,12,8,157,18,Celta,3/4/2019,33,52%,67,9,11,177,13,Huesca,Round 30
9,69%,43,13,11,116,16,Real Madrid,3/4/2019,13,31%,48,9,9,113,14,Valencia,Round 30
21,36%,52,19,8,157,17,Alavés,4/4/2019,34,64%,74,13,3,172,15,Sevilla,Round 30
29,45%,53,11,2,174,8,Real Valladolid,4/4/2019,37,55%,62,13,12,165,11,Leganés,Round 30
6,64%,49,13,9,126,18,Betis,4/4/2019,10,36%,50,12,7,113,16,Real Sociedad,Round 30
