Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 38,20/05/22,Rayo Vallecano,2,0,0,0,Levante,4,3,0,0,Mario Melero Lopez,5.55,0.21,Estadio de Vallecas,"Madrid, Spain",8446
Round 38,20/05/22,Real Madrid,0,0,0,0,Betis,0,0,0,0,Santiago Jaime Latre,5.58,0.22,Santiago Bernabéu,"Madrid, Spain",52232
Round 38,21/05/22,Valencia,2,3,0,0,Celta,0,3,0,0,Adrian Cordero Vega,5.32,0.22,Mestalla,"Valencia, Spain",16189
Round 38,22/05/22,Elche,3,2,0,0,Getafe,1,2,0,0,Guillermo Cuadra Fernandez,5.03,0.27,Estadio Martínez Valero,"Elche, Spain",17336
Round 38,22/05/22,Alavés,0,0,0,0,Cádiz,1,1,0,0,Jose Maria Sanchez Martinez,5.75,0.27,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",11138
Round 38,22/05/22,Granada,0,1,0,0,Espanyol,0,0,0,0,Alejandro Hernandez,5.51,0.27,Estadio Nuevo Los Carmenes,"Granada, Spain",17951
Round 38,22/05/22,Osasuna,0,2,0,0,Mallorca,2,2,0,0,Cesar Soto Grado,5.5,0.2,Estadio El Sadar,"Pamplona, Spain",18
Round 38,22/05/22,Barcelona,0,3,0,0,Villarreal,2,1,0,0,José Luis Munuera Montero,4.75,0.37,Spotify Camp Nou,"Barcelona, Spain",54850
Round 38,22/05/22,Real Sociedad,1,4,0,0,Atl. Madrid,2,2,0,0,Juan Martinez Munuera,4.9,0.19,Reale Arena,"San Sebastian, Spain",23586
Round 38,22/05/22,Sevilla,1,3,0,0,Athletic Club,0,3,0,0,Carlos Del Cerro Grande,4.81,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",31305
Round 37,14/05/22,Espanyol,1,4,0,0,Valencia,1,1,0,0,Alejandro Muniz Ruiz,5.37,0.49,RCDE Stadium,"Cornella, Spain",14990
