Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 38,19/07/20,Alavés,0,0,0,0,Barcelona,5,0,0,0,Juan Martinez Munuera,4.9,0.19,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",
Round 38,19/07/20,Real Valladolid,2,2,0,0,Betis,0,2,0,0,Santiago Jaime Latre,5.58,0.22,José Zorrilla,"Valladolid, Spain",
Round 38,19/07/20,Villarreal,4,0,0,0,Eibar,0,0,0,0,Javier Alberola Rojas,3.7,0.15,Estadio de la Ceramica,"Villarreal, Spain",
Round 38,19/07/20,Atl. Madrid,1,1,0,0,Real Sociedad,1,2,0,0,Pablo Gonzales Fuertes,5.91,0.37,Cívitas Metropolitano,"Madrid, Spain",
Round 38,19/07/20,Espanyol,0,2,0,0,Celta,0,3,0,0,Adrian Cordero Vega,5.32,0.22,RCDE Stadium,"Cornella, Spain",
Round 38,19/07/20,Granada,4,1,0,0,Athletic Club,0,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",
Round 38,19/07/20,Leganés,2,4,0,0,Real Madrid,2,1,0,0,Guillermo Cuadra Fernandez,5.03,0.27,Estadio Municipal de Butarque,"Leganes, Spain",
Round 38,19/07/20,Levante,1,2,0,0,Getafe,0,4,0,0,Ricardo De Burgos Bengoetxea,4.95,0.17,Estadio Camilo Cano,"La Nucía, Spain",
Round 38,19/07/20,Osasuna,2,2,0,0,Mallorca,2,0,0,0,Antonio Mateu Lahoz,5.18,0.22,Estadio El Sadar,"Pamplona, Spain",
Round 38,19/07/20,Sevilla,1,0,0,0,Valencia,0,1,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",
Round 37,16/07/20,Eibar,3,4,0,0,Real Valladolid,1,0,0,0,Cesar Soto Grado,5.5,0.2,Ipurua Municipal Stadium,"Eibar, Spain",
Round 37,16/07/20,Athletic Club,0,2,1,0,Leganés,2,3,0,0,Juan Martinez Munuera,4.9,0.19,San Mamés,"Bilbao, Spain",
Round 37,16/07/20,Barcelona,1,4,0,0,Osasuna,2,1,1,0,Jose Maria Sanchez Martinez,5.75,0.27,Spotify Camp Nou,"Barcelona, Spain",
Round 37,16/07/20,Celta,2,2,0,1,Levante,3,0,1,0,José Luis Munuera Montero,4.75,0.37,Municipal de Balaidos,"Vigo, Spain",
Round 37,16/07/20,Getafe,0,1,1,0,Atl. Madrid,2,2,0,0,Antonio Mateu Lahoz,5.18,0.22,Coliseum Alfonso Pérez,"Getafe, Spain",
Round 37,16/07/20,Mallorca,1,6,1,1,Granada,2,5,0,0,Javier Estrada Fernandez,5.38,0.25,Estadi de Son Moix,"Palma, Spain",
Round 37,16/07/20,Betis,1,6,1,0,Alavés,2,4,1,0,David Medie Jimenez,4.94,0.31,Benito Villamarin,"Seville, Spain",
Round 37,16/07/20,Real Madrid,2,3,0,0,Villarreal,1,2,0,0,Alejandro Hernandez,5.51,0.27,Estadio Alfredo di Stefano,"Madrid, Spain",
Round 37,16/07/20,Real Sociedad,0,1,0,0,Sevilla,0,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Reale Arena,"San Sebastian, Spain",
Round 37,16/07/20,Valencia,1,2,1,0,Espanyol,0,4,0,0,Eduardo Prieto Iglesias,4.81,0.21,Mestalla,"Valencia, Spain",
Round 36,11/7/2020,Osasuna,2,2,0,0,Celta,1,2,0,0,Valentin Pizarro Gomez,5.04,0.33,Estadio El Sadar,"Pamplona, Spain",
Round 36,11/7/2020,Real Valladolid,0,2,0,0,Barcelona,1,2,0,0,Antonio Mateu Lahoz,5.18,0.22,José Zorrilla,"Valladolid, Spain",
Round 36,11/7/2020,Atl. Madrid,1,1,1,0,Betis,0,3,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Cívitas Metropolitano,"Madrid, Spain",
Round 36,12/7/2020,Espanyol,0,2,0,0,Eibar,2,2,0,0,Carlos Del Cerro Grande,4.81,0.22,RCDE Stadium,"Cornella, Spain",
Round 36,12/7/2020,Levante,1,0,0,0,Athletic Club,2,1,0,0,Javier Alberola Rojas,3.7,0.15,Estadio Camilo Cano,"La Nucía, Spain",
Round 36,12/7/2020,Leganés,1,4,1,0,Valencia,0,1,0,0,Mario Melero Lopez,5.55,0.21,Estadio Municipal de Butarque,"Leganes, Spain",
Round 36,12/7/2020,Sevilla,2,3,0,0,Mallorca,0,2,0,0,Adrian Cordero Vega,5.32,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",
Round 36,13/07/20,Alavés,0,4,0,0,Getafe,0,2,0,0,Pablo Gonzales Fuertes,5.91,0.37,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",
Round 36,13/07/20,Villarreal,1,2,0,0,Real Sociedad,2,2,0,0,Guillermo Cuadra Fernandez,5.03,0.27,Estadio de la Ceramica,"Villarreal, Spain",
Round 36,13/07/20,Granada,1,2,0,0,Real Madrid,2,2,0,0,Santiago Jaime Latre,5.58,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",
Round 35,7/7/2020,Valencia,2,3,0,0,Real Valladolid,1,0,0,0,Ricardo De Burgos Bengoetxea,4.95,0.17,Mestalla,"Valencia, Spain",
Round 35,7/7/2020,Celta,1,4,0,0,Atl. Madrid,1,3,0,0,Jose Maria Sanchez Martinez,5.75,0.27,Municipal de Balaidos,"Vigo, Spain",
Round 35,8/7/2020,Getafe,1,4,3,0,Villarreal,3,1,1,0,Javier Estrada Fernandez,5.38,0.25,Coliseum Alfonso Pérez,"Getafe, Spain",
Round 35,8/7/2020,Betis,3,1,0,0,Osasuna,0,5,0,0,Alejandro Hernandez,5.51,0.27,Benito Villamarin,"Seville, Spain",
Round 35,8/7/2020,Barcelona,1,0,1,0,Espanyol,0,3,1,0,José Luis Munuera Montero,4.75,0.37,Spotify Camp Nou,"Barcelona, Spain",
Round 35,9/7/2020,Eibar,0,3,0,0,Leganés,0,3,0,0,Eduardo Prieto Iglesias,4.81,0.21,Ipurua Municipal Stadium,"Eibar, Spain",
Round 35,9/7/2020,Mallorca,2,3,0,0,Levante,0,1,0,0,Cesar Soto Grado,5.5,0.2,Estadi de Son Moix,"Palma, Spain",
Round 35,9/7/2020,Athletic Club,1,3,0,0,Sevilla,2,2,0,0,David Medie Jimenez,4.94,0.31,San Mamés,"Bilbao, Spain",
Round 35,10/7/2020,Real Sociedad,2,2,0,0,Granada,3,3,0,0,Juan Martinez Munuera,4.9,0.19,Reale Arena,"San Sebastian, Spain",
Round 35,10/7/2020,Real Madrid,2,0,0,0,Alavés,0,1,0,0,Jesus Gil Manzano,5.27,0.26,Estadio Alfredo di Stefano,"Madrid, Spain",
Round 34,3/7/2020,Atl. Madrid,3,2,0,0,Mallorca,0,1,0,0,Javier Alberola Rojas,3.7,0.15,Cívitas Metropolitano,"Madrid, Spain",
Round 34,4/7/2020,Celta,1,5,0,0,Betis,1,4,0,0,Pablo Gonzales Fuertes,5.91,0.37,Municipal de Balaidos,"Vigo, Spain",
Round 34,4/7/2020,Real Valladolid,1,3,0,0,Alavés,0,2,0,0,Santiago Jaime Latre,5.58,0.22,José Zorrilla,"Valladolid, Spain",
Round 34,4/7/2020,Granada,2,2,0,0,Valencia,2,2,0,0,Adrian Cordero Vega,5.32,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",
Round 34,5/7/2020,Athletic Club,0,4,0,0,Real Madrid,1,3,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,San Mamés,"Bilbao, Spain",
Round 34,5/7/2020,Espanyol,0,3,0,1,Leganés,1,3,0,0,Guillermo Cuadra Fernandez,5.03,0.27,RCDE Stadium,"Cornella, Spain",
Round 34,5/7/2020,Osasuna,0,5,0,0,Getafe,0,4,0,0,Mario Melero Lopez,5.55,0.21,Estadio El Sadar,"Pamplona, Spain",
Round 34,5/7/2020,Villarreal,1,1,0,0,Barcelona,4,0,0,0,Carlos Del Cerro Grande,4.81,0.22,Estadio de la Ceramica,"Villarreal, Spain",
Round 34,6/7/2020,Levante,1,3,0,0,Real Sociedad,1,2,0,0,Valentin Pizarro Gomez,5.04,0.33,Estadio Camilo Cano,"La Nucía, Spain",
Round 34,6/7/2020,Sevilla,1,2,0,0,Eibar,0,1,0,0,Antonio Mateu Lahoz,5.18,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",
Round 33,30/06/20,Mallorca,5,3,0,0,Celta,1,3,0,0,Ricardo De Burgos Bengoetxea,4.95,0.17,Estadi de Son Moix,"Palma, Spain",
Round 33,30/06/20,Leganés,0,4,0,0,Sevilla,3,3,0,0,Cesar Soto Grado,5.5,0.2,Estadio Municipal de Butarque,"Leganes, Spain",
Round 33,30/06/20,Barcelona,2,3,0,0,Atl. Madrid,2,5,0,0,Alejandro Hernandez,5.51,0.27,Spotify Camp Nou,"Barcelona, Spain",
