Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 8,04/10/19,Betis,1,3,0,0,Eibar,1,5,0,1,Alejandro Hernandez,5.51,0.27,Benito Villamarin,"Seville, Spain",47056
Round 8,05/10/19,Leganés,1,3,0,0,Levante,2,5,0,0,José Luis Munuera Montero,4.75,0.37,Estadio Municipal de Butarque,"Leganes, Spain",10160
Round 8,05/10/19,Real Madrid,4,4,0,0,Granada,2,5,0,0,Santiago Jaime Latre,5.58,0.22,Santiago Bernabéu,"Madrid, Spain",70315
Round 8,05/10/19,Valencia,2,1,0,0,Alavés,1,3,0,0,Eduardo Prieto Iglesias,4.81,0.21,Mestalla,"Valencia, Spain",38943
Round 8,05/10/19,Osasuna,2,2,0,0,Villarreal,1,2,0,0,Valentin Pizarro Gomez,5.04,0.33,Estadio El Sadar,"Pamplona, Spain",15349
Round 8,06/10/19,Mallorca,2,1,0,0,Espanyol,0,3,0,0,Ricardo De Burgos Bengoetxea,4.95,0.17,Estadi de Son Moix,"Palma, Spain",15052
Round 8,06/10/19,Celta,1,0,0,0,Athletic Club,0,5,0,0,David Medie Jimenez,4.94,0.31,Municipal de Balaidos,"Vigo, Spain",19690
Round 8,06/10/19,Real Valladolid,0,6,0,0,Atl. Madrid,0,4,0,0,Jose Maria Sanchez Martinez,5.75,0.27,José Zorrilla,"Valladolid, Spain",23650
Round 8,06/10/19,Real Sociedad,1,1,0,1,Getafe,2,4,0,0,Pablo Gonzales Fuertes,5.91,0.37,Reale Arena,"San Sebastian, Spain",30153
Round 8,06/10/19,Barcelona,4,5,2,0,Sevilla,0,3,0,0,Antonio Mateu Lahoz,5.18,0.22,Spotify Camp Nou,"Barcelona, Spain",81331
Round 7,27/09/19,Villarreal,5,2,0,0,Betis,1,2,0,0,Javier Estrada Fernandez,5.38,0.25,Estadio de la Ceramica,"Villarreal, Spain",18135
Round 7,28/09/19,Athletic Club,0,2,0,0,Valencia,1,5,0,0,Mario Melero Lopez,5.55,0.21,San Mamés,"Bilbao, Spain",42420
