Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 38,18/05/19,Levante,2,0,0,0,Atl. Madrid,2,1,1,0,Ignacio Iglesias Villanueva,5.62,0.35,Ciudad de Valencia,"Valencia, Spain",20575
Round 38,18/05/19,Espanyol,2,3,0,0,Real Sociedad,0,2,0,0,Santiago Jaime Latre,5.58,0.22,RCDE Stadium,"Cornella, Spain",26568
Round 38,18/05/19,Getafe,2,2,0,0,Villarreal,2,3,0,0,Javier Estrada Fernandez,5.38,0.25,Coliseum Alfonso Pérez,"Getafe, Spain",13579
Round 38,18/05/19,Real Valladolid,0,1,0,0,Valencia,2,4,0,0,Ricardo De Burgos Bengoetxea,4.96,0.17,José Zorrilla,"Valladolid, Spain",23455
Round 38,18/05/19,Sevilla,2,4,0,0,Athletic Club,0,2,0,0,Jose Maria Sanchez Martinez,5.75,0.27,Ramón Sánchez Pizjuán,"Seville, Spain",28060
Round 38,18/05/19,Celta,2,0,0,0,Rayo Vallecano,2,4,0,0,Antonio Mateu Lahoz,5.18,0.22,Municipal de Balaidos,"Vigo, Spain",21607
Round 38,18/05/19,Alavés,2,3,0,0,Girona,1,3,0,0,Mario Melero Lopez,5.55,0.21,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",11549
Round 38,18/05/19,Huesca,2,0,0,0,Leganés,1,1,0,0,Javier Alberola Rojas,3.7,0.15,El Alcoraz,"Huesca, Spain",5575
Round 38,19/05/19,Real Madrid,0,4,0,0,Betis,2,1,0,0,Alberto Undiano,4.53,0.14,Santiago Bernabéu,"Madrid, Spain",56900
Round 38,19/05/19,Eibar,2,4,0,0,Barcelona,2,2,0,0,José Luis Munuera Montero,4.75,0.37,Ipurua Municipal Stadium,"Eibar, Spain",5145
Round 37,12/5/2019,Athletic Club,3,4,0,0,Celta,1,3,0,0,Javier Estrada Fernandez,5.38,0.25,San Mamés,"Bilbao, Spain",42494
Round 37,12/5/2019,Atl. Madrid,1,5,0,0,Sevilla,1,4,0,0,Ricardo De Burgos Bengoetxea,4.96,0.17,Cívitas Metropolitano,"Madrid, Spain",60234
Round 37,12/5/2019,Barcelona,2,1,0,0,Getafe,0,3,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Spotify Camp Nou,"Barcelona, Spain",57088
Round 37,12/5/2019,Girona,1,2,0,0,Levante,2,3,0,0,Carlos Del Cerro Grande,4.81,0.22,Estadi Montilivi,"Girona, Spain",13342
Round 37,12/5/2019,Leganés,0,3,0,1,Espanyol,2,1,0,0,Mario Melero Lopez,5.55,0.21,Estadio Municipal de Butarque,"Leganes, Spain",10597
Round 37,12/5/2019,Rayo Vallecano,1,2,0,0,Real Valladolid,2,2,0,0,Jose Maria Sanchez Martinez,5.75,0.27,Estadio de Vallecas,"Madrid, Spain",10400
Round 37,12/5/2019,Betis,2,3,0,0,Huesca,1,5,1,0,Adrian Cordero Vega,5.32,0.22,Benito Villamarin,"Seville, Spain",28078
Round 37,12/5/2019,Real Sociedad,3,1,0,0,Real Madrid,1,2,1,0,Juan Martinez Munuera,4.9,0.19,Reale Arena,"San Sebastian, Spain",27322
