Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 15,9/12/2017,Deportivo,1,4,0,0,Leganés,0,4,0,0,Mario Melero Lopez,5.55,0.21,Riazor,"La Coruna, Spain",18366
Round 15,9/12/2017,Valencia,2,2,0,0,Celta,1,6,0,0,José Luis Munuera Montero,4.75,0.37,Mestalla,"Valencia, Spain",35633
Round 15,10/12/2017,Real Sociedad,0,1,0,0,Málaga,2,1,0,0,Carlos Del Cerro Grande,4.81,0.22,Reale Arena,"San Sebastian, Spain",16834
Round 15,10/12/2017,Betis,0,4,0,0,Atl. Madrid,1,3,0,0,Alejandro Hernandez,5.51,0.27,Benito Villamarin,"Seville, Spain",45517
Round 15,10/12/2017,Levante,1,3,0,0,Athletic Club,2,3,0,0,Javier Estrada Fernandez,5.38,0.25,Ciudad de Valencia,"Valencia, Spain",18005
Round 15,10/12/2017,Villarreal,0,2,1,0,Barcelona,2,1,0,0,Ricardo De Burgos Bengoetxea,4.96,0.17,Estadio de la Ceramica,"Villarreal, Spain",21087
Round 15,11/12/2017,Espanyol,0,1,0,0,Girona,1,3,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,RCDE Stadium,"Cornella, Spain",13846
Round 14,1/12/2017,Málaga,0,1,0,0,Levante,0,3,0,0,Ricardo De Burgos Bengoetxea,4.96,0.17,La Rosaleda,"Malaga, Spain",17886
Round 14,2/12/2017,Barcelona,2,3,0,0,Celta,2,6,0,0,Mario Melero Lopez,5.55,0.21,Spotify Camp Nou,"Barcelona, Spain",63208
Round 14,2/12/2017,Atl. Madrid,2,1,0,0,Real Sociedad,1,2,0,0,Santiago Jaime Latre,5.58,0.22,Cívitas Metropolitano,"Madrid, Spain",57394
Round 14,2/12/2017,Sevilla,2,1,0,0,Deportivo,0,3,0,0,Jose Maria Sanchez Martinez,5.75,0.27,Ramón Sánchez Pizjuán,"Seville, Spain",32017
Round 14,2/12/2017,Athletic Club,0,2,0,0,Real Madrid,0,4,0,1,Antonio Mateu Lahoz,5.18,0.22,San Mamés,"Bilbao, Spain",44884
Round 14,3/12/2017,Leganés,3,2,0,0,Villarreal,1,4,0,0,David Fernandez Borbalan,5.63,0.31,Estadio Municipal de Butarque,"Leganes, Spain",10017
Round 14,3/12/2017,Getafe,1,7,0,1,Valencia,0,4,0,0,David Medie Jimenez,4.94,0.31,Coliseum Alfonso Pérez,"Getafe, Spain",12480
Round 14,3/12/2017,Eibar,3,3,0,0,Espanyol,1,3,0,0,Alberto Undiano,4.53,0.14,Ipurua Municipal Stadium,"Eibar, Spain",4693
Round 14,3/12/2017,Las Palmas,1,1,0,0,Betis,0,6,0,1,Javier Estrada Fernandez,5.38,0.25,Gran Canaria,"Las Palmas de Gran Canaria, Spain",16313
Round 14,4/12/2017,Girona,2,1,0,0,Alavés,3,2,0,0,Javier Alberola Rojas,3.7,0.15,Estadi Montilivi,"Girona, Spain",7316
Round 13,24/11/17,Celta,1,2,0,0,Leganés,0,3,0,0,Alejandro Hernandez,5.51,0.27,Municipal de Balaidos,"Vigo, Spain",10611
Round 13,25/11/17,Alavés,1,6,0,1,Eibar,2,3,1,0,José Luis Munuera Montero,4.75,0.37,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",19727
Round 13,25/11/17,Real Madrid,3,1,0,0,Málaga,2,2,0,0,Jesus Gil Manzano,5.27,0.26,Santiago Bernabéu,"Madrid, Spain",75671
Round 13,25/11/17,Betis,2,2,0,0,Girona,2,1,0,0,Carlos Del Cerro Grande,4.81,0.22,Benito Villamarin,"Seville, Spain",45681
Round 13,25/11/17,Levante,0,2,0,0,Atl. Madrid,5,1,0,0,Daniel Jesus Trujillo Suarez,4.75,0.26,Ciudad de Valencia,"Valencia, Spain",21549
Round 13,26/11/17,Deportivo,2,4,0,0,Athletic Club,2,1,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Riazor,"La Coruna, Spain",20879
Round 13,26/11/17,Real Sociedad,2,3,0,1,Las Palmas,2,3,0,0,Pablo Gonzales Fuertes,5.91,0.37,Reale Arena,"San Sebastian, Spain",19780
Round 13,26/11/17,Villarreal,2,3,0,1,Sevilla,3,3,0,0,Javier Alberola Rojas,3.7,0.15,Estadio de la Ceramica,"Villarreal, Spain",18698
Round 13,26/11/17,Valencia,1,4,0,0,Barcelona,1,0,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Mestalla,"Valencia, Spain",47775
Round 13,27/11/17,Espanyol,1,3,0,0,Getafe,0,7,0,0,Juan Martinez Munuera,4.9,0.19,RCDE Stadium,"Cornella, Spain",11756
Round 12,17/11/17,Girona,1,4,0,0,Real Sociedad,1,2,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Estadi Montilivi,"Girona, Spain",10136
Round 12,18/11/17,Getafe,4,3,0,0,Alavés,1,3,0,0,Santiago Jaime Latre,5.58,0.22,Coliseum Alfonso Pérez,"Getafe, Spain",10014
Round 12,18/11/17,Leganés,0,1,0,0,Barcelona,3,2,0,0,Alberto Undiano,4.53,0.14,Estadio Municipal de Butarque,"Leganes, Spain",11454
Round 12,18/11/17,Sevilla,2,3,0,0,Celta,1,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",35030
Round 12,18/11/17,Atl. Madrid,0,6,0,0,Real Madrid,0,2,0,0,David Fernandez Borbalan,5.63,0.31,Cívitas Metropolitano,"Madrid, Spain",66496
Round 12,19/11/17,Málaga,3,4,0,0,Deportivo,2,5,0,0,Juan Martinez Munuera,4.9,0.19,La Rosaleda,"Malaga, Spain",24563
Round 12,19/11/17,Espanyol,0,0,0,0,Valencia,2,4,0,0,Alejandro Hernandez,5.51,0.27,RCDE Stadium,"Cornella, Spain",25529
Round 12,19/11/17,Las Palmas,0,1,0,0,Levante,2,4,0,0,Mario Melero Lopez,5.55,0.21,Gran Canaria,"Las Palmas de Gran Canaria, Spain",26212
Round 12,19/11/17,Athletic Club,1,1,0,0,Villarreal,1,3,0,0,David Medie Jimenez,4.94,0.31,San Mamés,"Bilbao, Spain",3666
Round 12,20/11/17,Eibar,5,2,0,0,Betis,0,2,1,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Ipurua Municipal Stadium,"Eibar, Spain",4638
Round 11,3/11/2017,Betis,2,2,0,0,Getafe,2,6,0,0,Antonio Mateu Lahoz,5.18,0.22,Benito Villamarin,"Seville, Spain",42323
Round 11,4/11/2017,Valencia,3,1,0,0,Leganés,0,2,0,0,Ricardo De Burgos Bengoetxea,4.96,0.17,Mestalla,"Valencia, Spain",39694
Round 11,4/11/2017,Deportivo,0,4,0,0,Atl. Madrid,1,2,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Riazor,"La Coruna, Spain",22733
Round 11,4/11/2017,Alavés,1,7,0,0,Espanyol,0,1,0,1,Pablo Gonzales Fuertes,5.91,0.37,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",19368
Round 11,4/11/2017,Barcelona,2,1,0,0,Sevilla,1,0,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Spotify Camp Nou,"Barcelona, Spain",70723
Round 11,5/11/2017,Levante,1,3,0,0,Girona,2,4,0,0,José Luis Munuera Montero,4.75,0.37,Ciudad de Valencia,"Valencia, Spain",18324
Round 11,5/11/2017,Celta,3,2,0,0,Athletic Club,1,3,0,0,Jesus Gil Manzano,5.27,0.26,Municipal de Balaidos,"Vigo, Spain",19779
Round 11,5/11/2017,Real Sociedad,3,0,0,0,Eibar,1,3,0,0,Daniel Jesus Trujillo Suarez,4.75,0.26,Reale Arena,"San Sebastian, Spain",20387
Round 11,5/11/2017,Villarreal,2,2,0,0,Málaga,0,5,0,0,Javier Estrada Fernandez,5.38,0.25,Estadio de la Ceramica,"Villarreal, Spain",17755
Round 11,5/11/2017,Real Madrid,3,2,0,0,Las Palmas,0,1,0,0,Jose Maria Sanchez Martinez,5.75,0.27,Santiago Bernabéu,"Madrid, Spain",67120
Round 10,28/10/17,Alavés,1,5,0,0,Valencia,2,1,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",18638
Round 10,28/10/17,Atl. Madrid,1,0,0,0,Villarreal,1,4,0,0,Alberto Undiano,4.53,0.14,Cívitas Metropolitano,"Madrid, Spain",67703
Round 10,28/10/17,Athletic Club,0,1,0,0,Barcelona,2,4,0,0,Juan Martinez Munuera,4.9,0.19,San Mamés,"Bilbao, Spain",43570
Round 10,28/10/17,Sevilla,2,0,0,0,Leganés,1,3,0,0,David Medie Jimenez,4.94,0.31,Ramón Sánchez Pizjuán,"Seville, Spain",32097
Round 10,29/10/17,Getafe,2,3,0,0,Real Sociedad,1,2,0,0,Jose Maria Sanchez Martinez,5.75,0.27,Coliseum Alfonso Pérez,"Getafe, Spain",11010
Round 10,29/10/17,Girona,2,2,0,0,Real Madrid,1,1,0,0,Alejandro Hernandez,5.51,0.27,Estadi Montilivi,"Girona, Spain",13382
Round 10,29/10/17,Eibar,2,1,0,0,Levante,2,3,0,0,Javier Alberola Rojas,3.7,0.15,Ipurua Municipal Stadium,"Eibar, Spain",5131
Round 10,29/10/17,Málaga,2,2,0,0,Celta,1,3,0,0,Santiago Jaime Latre,5.58,0.22,La Rosaleda,"Malaga, Spain",19541
Round 10,30/10/17,Espanyol,1,2,0,0,Betis,0,5,0,0,Ignacio Iglesias Villanueva,5.62,0.35,RCDE Stadium,"Cornella, Spain",17856
Round 10,30/10/17,Las Palmas,1,1,0,0,Deportivo,3,1,0,0,Carlos Del Cerro Grande,4.81,0.22,Gran Canaria,"Las Palmas de Gran Canaria, Spain",14805
Round 9,21/10/17,Levante,1,1,0,0,Getafe,1,3,0,0,Ricardo De Burgos Bengoetxea,4.96,0.17,Ciudad de Valencia,"Valencia, Spain",18064
Round 9,21/10/17,Betis,2,2,0,0,Alavés,0,2,0,0,Daniel Jesus Trujillo Suarez,4.75,0.26,Benito Villamarin,"Seville, Spain",49243
Round 9,21/10/17,Valencia,4,2,0,0,Sevilla,0,4,0,0,Javier Estrada Fernandez,5.38,0.25,Mestalla,"Valencia, Spain",44307
Round 9,21/10/17,Barcelona,2,1,0,0,Málaga,0,4,0,0,Pablo Gonzales Fuertes,5.91,0.37,Spotify Camp Nou,"Barcelona, Spain",74397
Round 9,22/10/17,Villarreal,4,1,0,0,Las Palmas,0,5,0,0,David Fernandez Borbalan,5.63,0.31,Estadio de la Ceramica,"Villarreal, Spain",16606
Round 9,22/10/17,Celta,0,3,0,0,Atl. Madrid,1,5,0,0,José Luis Munuera Montero,4.75,0.37,Municipal de Balaidos,"Vigo, Spain",12978
Round 9,22/10/17,Leganés,1,3,0,0,Athletic Club,0,4,0,0,Antonio Mateu Lahoz,5.18,0.22,Estadio Municipal de Butarque,"Leganes, Spain",11454
Round 9,22/10/17,Real Madrid,3,1,0,0,Eibar,0,1,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Santiago Bernabéu,"Madrid, Spain",66189
Round 9,23/10/17,Real Sociedad,1,4,0,1,Espanyol,1,4,0,0,Mario Melero Lopez,5.55,0.21,Reale Arena,"San Sebastian, Spain",18515
Round 9,23/10/17,Deportivo,1,3,0,0,Girona,2,8,0,0,Jesus Gil Manzano,5.27,0.26,Riazor,"La Coruna, Spain",17463
