Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 38,19/05/17,Granada,1,0,0,0,Espanyol,2,3,0,0,Carlos Clos Gomez,5.33,0.3,Estadio Nuevo Los Carmenes,"Granada, Spain",10503
Round 38,20/05/17,Sporting,2,0,0,0,Betis,2,2,0,0,Ignacio Iglesias Villanueva,5.62,0.35,El Molinón,"Gijon, Spain",16201
Round 38,20/05/17,Deportivo,3,4,0,0,Las Palmas,0,3,0,1,Mario Melero Lopez,5.55,0.21,Riazor,"La Coruna, Spain",21663
Round 38,20/05/17,Leganés,1,0,0,0,Alavés,1,1,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Estadio Municipal de Butarque,"Leganes, Spain",10922
Round 38,20/05/17,Sevilla,5,3,0,0,Osasuna,0,1,0,0,Carlos Del Cerro Grande,4.81,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",26396
Round 38,21/05/17,Atl. Madrid,3,2,0,0,Athletic Club,1,0,0,0,Javier Estrada Fernandez,5.38,0.25,Vicente Calderón,"Madrid, Spain",52314
Round 38,21/05/17,Celta,2,2,0,0,Real Sociedad,2,1,0,0,Jose Maria Sanchez Martinez,5.74,0.28,Municipal de Balaidos,"Vigo, Spain",14188
Round 38,21/05/17,Valencia,1,2,0,0,Villarreal,3,2,0,0,David Fernandez Borbalan,5.63,0.31,Mestalla,"Valencia, Spain",33587
Round 38,21/05/17,Barcelona,4,1,0,0,Eibar,2,3,0,1,Alejandro Hernandez,5.51,0.27,Spotify Camp Nou,"Barcelona, Spain",74932
Round 38,21/05/17,Málaga,0,2,0,0,Real Madrid,2,0,0,0,Ricardo De Burgos Bengoetxea,4.96,0.17,La Rosaleda,"Malaga, Spain",27855
Round 37,13/05/17,Espanyol,0,0,0,0,Valencia,1,4,0,0,Daniel Ocon Arraiz,5.11,0.19,RCDE Stadium,"Cornella, Spain",20111
Round 37,13/05/17,Osasuna,2,1,0,0,Granada,1,3,0,0,Inaki Vicandi Garrido,4.39,0.32,Estadio El Sadar,"Pamplona, Spain",13301
Round 37,14/05/17,Alavés,3,1,0,0,Celta,1,3,0,0,José Luis Munuera Montero,4.75,0.37,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",17624
Round 37,14/05/17,Athletic Club,1,3,0,0,Leganés,1,7,0,0,David Fernandez Borbalan,5.63,0.31,San Mamés,"Bilbao, Spain",42049
Round 37,14/05/17,Eibar,0,2,0,0,Sporting,1,2,0,0,Juan Martinez Munuera,4.9,0.19,Ipurua Municipal Stadium,"Eibar, Spain",5577
Round 37,14/05/17,Las Palmas,1,0,0,0,Barcelona,4,1,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Gran Canaria,"Las Palmas de Gran Canaria, Spain",22268
Round 37,14/05/17,Betis,1,4,0,0,Atl. Madrid,1,4,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Benito Villamarin,"Seville, Spain",27159
Round 37,14/05/17,Real Madrid,4,4,0,0,Sevilla,1,2,0,0,Alberto Undiano,4.53,0.14,Santiago Bernabéu,"Madrid, Spain",79356
Round 37,14/05/17,Real Sociedad,2,1,0,0,Málaga,2,2,0,0,Santiago Jaime Latre,5.58,0.22,Reale Arena,"San Sebastian, Spain",25026
Round 37,14/05/17,Villarreal,0,2,0,0,Deportivo,0,4,0,0,Jesus Gil Manzano,5.27,0.26,Estadio de la Ceramica,"Villarreal, Spain",16437
Round 36,5/5/2017,Sevilla,1,4,0,0,Real Sociedad,1,4,0,1,Jose Luis Gonzalez Gonzalez,4.82,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",28607
Round 36,6/5/2017,Sporting,1,4,0,0,Las Palmas,0,3,0,0,Santiago Jaime Latre,5.58,0.22,El Molinón,"Gijon, Spain",21758
Round 36,6/5/2017,Atl. Madrid,1,4,0,1,Eibar,0,3,0,0,David Fernandez Borbalan,5.63,0.31,Vicente Calderón,"Madrid, Spain",46748
Round 36,6/5/2017,Barcelona,4,2,0,0,Villarreal,1,4,0,0,Jose Maria Sanchez Martinez,5.74,0.28,Spotify Camp Nou,"Barcelona, Spain",90463
Round 36,6/5/2017,Granada,0,1,0,0,Real Madrid,4,0,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Estadio Nuevo Los Carmenes,"Granada, Spain",19094
Round 36,7/5/2017,Alavés,1,1,0,0,Athletic Club,0,4,0,0,Juan Martinez Munuera,4.9,0.19,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",19127
Round 36,7/5/2017,Valencia,4,3,0,0,Osasuna,1,2,0,0,Carlos Clos Gomez,5.33,0.3,Mestalla,"Valencia, Spain",24752
Round 36,7/5/2017,Deportivo,1,1,0,0,Espanyol,2,2,0,0,Antonio Mateu Lahoz,5.18,0.22,Riazor,"La Coruna, Spain",22803
Round 36,7/5/2017,Málaga,3,2,0,0,Celta,0,4,0,0,Carlos Del Cerro Grande,4.81,0.22,La Rosaleda,"Malaga, Spain",20552
