AwayAerialswon,AwayBallpossession,AwayDuelswon,AwayFouls,AwayInterceptions,AwayPossessionlost,AwayTackles,AwayTeam,Date,HomeAerialswon,HomeBallpossession,HomeDuelswon,HomeFouls,HomeInterceptions,HomePossessionlost,HomeTackles,HomeTeam,Round
26,50%,64,13,13,203,15,Celta,12/09/20,43,50%,76,17,5,216,15,Eibar,Round 1
25,60%,48,10,7,153,11,Athletic Club,12/09/20,21,40%,43,8,15,144,4,Granada,Round 1
42,47%,70,21,6,178,14,Osasuna,12/09/20,25,53%,74,14,11,176,18,Cádiz,Round 1
8,58%,47,17,7,131,15,Betis,13/09/20,24,42%,57,19,14,129,12,Alavés,Round 1
26,60%,61,17,7,143,12,Real Sociedad,13/09/20,21,40%,50,15,8,126,12,Real Valladolid,Round 1
14,34%,45,22,16,125,15,Huesca,13/09/20,14,66%,55,10,12,144,11,Villarreal,Round 1
12,56%,40,14,7,117,6,Levante,13/09/20,15,44%,56,9,13,109,16,Valencia,Round 1
8,66%,49,11,13,118,13,Sevilla,12/01/21,11,34%,38,14,4,100,14,Atl. Madrid,Round 1
9,32%,39,16,12,143,16,Getafe,09/02/21,11,68%,54,8,11,147,11,Real Madrid,Round 1
5,35%,28,8,18,103,14,Elche,24/02/21,9,65%,56,8,7,103,21,Barcelona,Round 1
