AwayAerialswon,AwayBallpossession,AwayDuelswon,AwayFouls,AwayInterceptions,AwayPossessionlost,AwayTackles,AwayTeam,Date,HomeAerialswon,HomeBallpossession,HomeDuelswon,HomeFouls,HomeInterceptions,HomePossessionlost,HomeTackles,HomeTeam,Round
9,56%,47,13,10,101,16,Real Madrid,30/10/21,5,44%,38,11,5,114,14,Elche,Round 12
15,36%,49,10,4,153,14,Osasuna,30/10/21,18,64%,41,17,5,142,7,Sevilla,Round 12
22,75%,66,17,4,139,22,Villarreal,30/10/21,13,25%,53,19,11,130,19,Valencia,Round 12
14,21%,44,11,17,108,17,Alavés,30/10/21,12,79%,48,11,5,137,7,Barcelona,Round 12
15,56%,63,16,4,146,27,Mallorca,31/10/21,18,44%,63,14,10,151,22,Cádiz,Round 12
6,53%,40,12,8,120,15,Betis,31/10/21,15,47%,56,11,7,129,17,Atl. Madrid,Round 12
14,56%,51,12,3,141,8,Espanyol,31/10/21,22,44%,53,18,11,117,14,Getafe,Round 12
12,46%,57,14,7,130,21,Athletic Club,31/10/21,16,54%,47,21,9,122,14,Real Sociedad,Round 12
24,47%,56,14,10,158,14,Celta,01/11/21,19,53%,51,13,8,158,11,Rayo Vallecano,Round 12
9,52%,44,13,8,140,15,Granada,01/11/21,15,48%,53,14,9,148,15,Levante,Round 12
15,62%,54,9,10,148,18,Elche,26/10/21,15,38%,50,13,14,119,19,Alavés,Round 11
12,54%,48,12,7,117,17,Athletic Club,26/10/21,3,46%,29,7,7,116,11,Espanyol,Round 11
12,22%,42,9,10,124,14,Cádiz,26/10/21,11,78%,46,13,6,156,10,Villarreal,Round 11
19,70%,54,14,4,116,8,Sevilla,27/10/21,10,30%,55,16,11,109,12,Mallorca,Round 11
14,69%,61,12,9,128,11,Barcelona,27/10/21,10,31%,56,17,7,117,22,Rayo Vallecano,Round 11
12,39%,47,19,9,150,14,Valencia,27/10/21,21,61%,65,14,6,150,16,Betis,Round 11
15,25%,38,10,14,116,7,Osasuna,27/10/21,12,75%,38,12,7,131,7,Real Madrid,Round 11
23,43%,66,11,11,145,19,Real Sociedad,28/10/21,15,57%,52,12,5,153,23,Celta,Round 11
24,23%,54,15,8,132,12,Getafe,28/10/21,17,77%,57,10,6,154,17,Granada,Round 11
8,65%,43,11,7,116,14,Atl. Madrid,28/10/21,3,35%,25,15,16,115,8,Levante,Round 11
13,58%,38,11,3,150,6,Granada,22/10/21,26,42%,57,15,8,136,14,Osasuna,Round 10
13,27%,55,19,12,118,22,Mallorca,23/10/21,18,73%,72,15,4,162,14,Valencia,Round 10
33,39%,60,14,12,146,9,Alavés,23/10/21,16,61%,73,11,6,153,22,Cádiz,Round 10
8,42%,48,9,10,115,12,Espanyol,23/10/21,6,58%,44,15,7,114,18,Elche,Round 10
7,48%,45,12,9,93,10,Villarreal,23/10/21,7,52%,31,7,8,110,6,Athletic Club,Round 10
9,39%,45,6,15,102,14,Levante,24/10/21,11,61%,40,13,5,117,18,Sevilla,Round 10
9,48%,44,13,7,116,12,Real Madrid,24/10/21,4,52%,46,17,11,107,23,Barcelona,Round 10
16,54%,54,12,8,125,17,Rayo Vallecano,24/10/21,10,46%,50,12,11,118,20,Betis,Round 10
5,44%,39,14,14,117,15,Real Sociedad,24/10/21,14,56%,50,14,9,122,16,Atl. Madrid,Round 10
21,66%,56,11,15,134,14,Celta,25/10/21,12,34%,42,15,22,132,11,Getafe,Round 10
11,47%,57,10,11,150,25,Getafe,16/10/21,15,53%,51,14,13,148,19,Levante,Round 9
18,50%,57,21,12,128,24,Mallorca,16/10/21,20,50%,57,11,11,129,14,Real Sociedad,Round 9
18,47%,66,11,8,164,17,Elche,17/10/21,14,53%,46,16,12,161,14,Rayo Vallecano,Round 9
17,54%,44,9,10,136,9,Sevilla,17/10/21,15,46%,46,13,6,130,15,Celta,Round 9
