AwayAerialswon,AwayBallpossession,AwayDuelswon,AwayFouls,AwayInterceptions,AwayPossessionlost,AwayTackles,AwayTeam,Date,HomeAerialswon,HomeBallpossession,HomeDuelswon,HomeFouls,HomeInterceptions,HomePossessionlost,HomeTackles,HomeTeam,Round
14,65%,53,11,8,154,13,Levante,27/11/20,13,35%,47,18,13,138,16,Real Valladolid,Round 11
9,53%,46,15,13,127,16,Cádiz,28/11/20,27,47%,62,16,8,111,16,Elche,Round 11
13,67%,51,15,8,142,17,Atl. Madrid,28/11/20,15,33%,42,12,17,133,8,Valencia,Round 11
27,68%,50,9,7,141,6,Sevilla,28/11/20,10,32%,39,14,19,127,12,Huesca,Round 11
18,32%,51,17,9,110,19,Alavés,28/11/20,12,68%,45,8,7,130,11,Real Madrid,Round 11
14,28%,39,12,14,115,15,Osasuna,29/11/20,12,72%,41,8,5,123,10,Barcelona,Round 11
30,48%,64,23,10,169,12,Athletic Club,29/11/20,20,52%,65,16,13,168,18,Getafe,Round 11
16,32%,47,13,10,133,9,Granada,29/11/20,28,68%,64,14,10,131,19,Celta,Round 11
14,45%,48,12,18,136,16,Villarreal,29/11/20,17,55%,49,18,4,148,7,Real Sociedad,Round 11
26,37%,65,14,11,180,15,Eibar,30/11/20,39,63%,67,13,14,191,13,Betis,Round 11
24,45%,56,15,15,174,11,Huesca,20/11/20,24,55%,50,14,10,183,7,Osasuna,Round 10
7,56%,57,11,15,123,25,Elche,21/11/20,7,44%,44,15,12,115,17,Levante,Round 10
6,53%,44,14,13,121,10,Real Madrid,21/11/20,4,47%,49,16,7,101,21,Villarreal,Round 10
19,43%,47,20,6,121,9,Celta,21/11/20,20,57%,65,14,9,126,9,Sevilla,Round 10
11,54%,49,6,10,112,18,Barcelona,21/11/20,8,46%,37,12,11,127,13,Atl. Madrid,Round 10
27,48%,54,22,12,184,8,Getafe,22/11/20,32,52%,77,16,16,180,9,Eibar,Round 10
15,68%,45,14,5,150,13,Real Sociedad,22/11/20,16,32%,63,14,12,139,27,Cádiz,Round 10
25,40%,61,14,11,137,12,Real Valladolid,22/11/20,23,60%,56,16,10,154,10,Granada,Round 10
11,66%,44,16,4,118,7,Valencia,22/11/20,13,34%,42,21,11,114,9,Alavés,Round 10
10,60%,53,8,16,140,20,Betis,23/11/20,16,40%,55,16,12,135,22,Athletic Club,Round 10
12,49%,59,12,11,113,19,Celta,06/11/20,12,51%,47,18,13,140,11,Elche,Round 9
15,41%,41,30,16,146,11,Eibar,07/11/20,22,59%,67,16,10,159,11,Huesca,Round 9
7,40%,35,10,11,109,13,Betis,07/11/20,5,60%,31,8,12,105,8,Barcelona,Round 9
26,33%,56,19,11,124,12,Osasuna,07/11/20,26,67%,73,11,4,134,11,Sevilla,Round 9
10,32%,49,9,12,129,19,Cádiz,07/11/20,18,68%,47,10,17,106,12,Atl. Madrid,Round 9
21,56%,75,11,9,154,24,Villarreal,08/11/20,24,44%,53,18,9,161,15,Getafe,Round 9
13,27%,31,11,12,119,6,Granada,08/11/20,26,73%,53,8,4,131,11,Real Sociedad,Round 9
20,28%,56,16,19,121,18,Alavés,08/11/20,12,72%,53,12,18,152,16,Levante,Round 9
22,70%,69,11,3,135,9,Athletic Club,08/11/20,14,30%,40,23,13,103,9,Real Valladolid,Round 9
14,64%,56,14,6,129,19,Real Madrid,08/11/20,8,36%,45,13,9,110,15,Valencia,Round 9
25,27%,51,10,13,185,16,Cádiz,30/10/20,30,73%,58,10,10,196,13,Eibar,Round 8
9,41%,48,9,16,108,17,Huesca,31/10/20,5,59%,48,16,5,117,18,Real Madrid,Round 8
18,54%,49,19,10,118,14,Sevilla,31/10/20,14,46%,41,17,6,132,4,Athletic Club,Round 8
20,55%,54,10,15,149,15,Atl. Madrid,31/10/20,21,45%,52,12,13,174,12,Osasuna,Round 8
7,79%,61,4,4,145,18,Barcelona,31/10/20,10,21%,45,16,21,121,27,Alavés,Round 8
9,40%,43,12,12,108,12,Elche,01/11/20,5,60%,47,13,17,97,18,Betis,Round 8
11,54%,54,16,17,135,17,Real Sociedad,01/11/20,8,46%,50,19,10,138,18,Celta,Round 8
23,71%,41,14,7,124,8,Levante,01/11/20,15,29%,42,7,5,110,8,Granada,Round 8
