AwayAerialswon,AwayBallpossession,AwayDuelswon,AwayFouls,AwayInterceptions,AwayPossessionlost,AwayTackles,AwayTeam,Date,HomeAerialswon,HomeBallpossession,HomeDuelswon,HomeFouls,HomeInterceptions,HomePossessionlost,HomeTackles,HomeTeam,Round
5,37%,37,15,18,134,17,Levante,19/05/18,11,63%,64,9,11,126,30,Celta,Round 38
6,69%,47,9,8,106,18,Betis,19/05/18,7,31%,48,9,10,108,24,Leganés,Round 38
13,37%,54,19,14,138,22,Girona,19/05/18,25,63%,81,7,11,140,19,Las Palmas,Round 38
26,60%,67,12,19,172,14,Getafe,19/05/18,24,40%,76,19,15,168,26,Málaga,Round 38
8,39%,44,12,12,123,16,Alavés,19/05/18,14,61%,64,15,9,126,23,Sevilla,Round 38
11,61%,53,10,3,112,20,Real Madrid,19/05/18,6,39%,44,13,12,102,21,Villarreal,Round 38
1,43%,50,11,11,122,34,Deportivo,20/05/18,15,57%,60,8,10,119,22,Valencia,Round 38
14,44%,45,11,6,142,21,Espanyol,20/05/18,21,56%,59,4,7,144,17,Athletic Club,Round 38
21,49%,56,14,16,150,16,Eibar,20/05/18,17,51%,60,14,16,142,12,Atl. Madrid,Round 38
8,39%,45,13,11,113,19,Real Sociedad,20/05/18,7,61%,55,13,11,106,14,Barcelona,Round 38
14,39%,43,12,14,143,15,Leganés,12/05/18,10,61%,42,8,13,146,15,Real Sociedad,Round 37
16,61%,55,13,18,164,16,Athletic Club,12/05/18,13,39%,60,15,21,143,26,Alavés,Round 37
13,48%,52,5,18,103,14,Villarreal,12/05/18,6,52%,22,14,16,116,7,Deportivo,Round 37
22,51%,63,12,14,222,22,Las Palmas,12/05/18,26,49%,69,13,20,207,22,Eibar,Round 37
17,48%,73,17,21,158,34,Atl. Madrid,12/05/18,15,52%,64,13,15,189,14,Getafe,Round 37
14,43%,55,11,18,129,14,Valencia,12/05/18,13,57%,55,16,14,147,16,Girona,Round 37
10,51%,36,19,8,138,16,Sevilla,12/05/18,11,49%,57,9,13,134,19,Betis,Round 37
7,43%,39,10,8,116,14,Celta,12/05/18,8,57%,42,5,16,111,12,Real Madrid,Round 37
8,33%,51,19,9,136,22,Málaga,13/05/18,14,67%,70,13,10,138,24,Espanyol,Round 37
9,65%,59,12,14,114,15,Barcelona,13/05/18,5,35%,46,18,14,117,19,Levante,Round 37
11,59%,50,13,6,133,15,Real Sociedad,04/05/18,19,41%,53,17,13,124,20,Sevilla,Round 36
25,42%,65,13,8,142,20,Eibar,05/05/18,26,58%,55,11,9,152,13,Girona,Round 36
12,58%,53,12,16,118,17,Betis,05/05/18,16,42%,49,13,15,118,14,Athletic Club,Round 36
21,48%,61,11,13,145,23,Deportivo,05/05/18,10,52%,39,6,10,137,11,Celta,Round 36
14,43%,67,18,11,123,20,Valencia,05/05/18,10,57%,54,18,15,125,18,Villarreal,Round 36
27,46%,73,13,11,123,21,Alavés,06/05/18,21,54%,49,15,9,127,14,Málaga,Round 36
18,55%,56,13,12,139,17,Espanyol,06/05/18,21,45%,74,9,10,137,26,Atl. Madrid,Round 36
27,31%,59,28,8,139,16,Getafe,06/05/18,16,69%,77,8,12,146,14,Las Palmas,Round 36
7,50%,40,20,11,95,22,Real Madrid,06/05/18,5,50%,52,8,5,115,15,Barcelona,Round 36
18,57%,66,11,10,127,18,Levante,07/05/18,11,43%,45,15,13,120,18,Leganés,Round 36
17,46%,69,13,13,154,32,Deportivo,20/04/18,20,54%,57,12,20,179,12,Leganés,Round 34
30,34%,78,16,12,188,29,Getafe,21/04/18,41,66%,84,15,7,213,14,Eibar,Round 34
23,39%,58,19,7,131,14,Valencia,21/04/18,14,61%,51,14,17,128,13,Celta,Round 34
27,41%,72,18,9,132,21,Espanyol,22/04/18,18,59%,59,18,14,160,9,Girona,Round 34
16,67%,58,0,9,112,14,Real Sociedad,22/04/18,11,33%,40,16,11,118,20,Málaga,Round 34
16,33%,62,19,18,126,18,Alavés,22/04/18,10,67%,65,14,16,130,23,Las Palmas,Round 34
11,68%,58,14,16,142,11,Betis,22/04/18,18,32%,76,17,20,142,32,Atl. Madrid,Round 34
