AwayAerialswon,AwayBallpossession,AwayDuelswon,AwayFouls,AwayInterceptions,AwayPossessionlost,AwayTackles,AwayTeam,Date,HomeAerialswon,HomeBallpossession,HomeDuelswon,HomeFouls,HomeInterceptions,HomePossessionlost,HomeTackles,HomeTeam,Round
8,44%,45,12,13,127,19,Levante,20/05/22,11,56%,55,8,8,146,25,Rayo Vallecano,Round 38
7,48%,40,12,2,113,18,Betis,20/05/22,7,52%,56,7,7,103,21,Real Madrid,Round 38
6,55%,62,19,7,150,20,Celta,21/05/22,17,45%,64,22,17,153,16,Valencia,Round 38
6,41%,29,9,5,109,8,Getafe,22/05/22,12,59%,46,11,8,107,18,Elche,Round 38
19,50%,58,13,7,134,19,Cádiz,22/05/22,14,50%,58,11,5,136,19,Alavés,Round 38
16,61%,55,12,10,140,19,Espanyol,22/05/22,21,39%,55,9,4,151,19,Granada,Round 38
27,37%,51,14,7,134,11,Mallorca,22/05/22,22,63%,48,8,5,132,9,Osasuna,Round 38
15,30%,44,7,7,102,15,Villarreal,22/05/22,8,70%,37,12,4,124,17,Barcelona,Round 38
8,38%,63,11,15,144,29,Atl. Madrid,22/05/22,24,62%,60,16,10,154,19,Real Sociedad,Round 38
12,34%,44,12,11,123,17,Athletic Club,22/05/22,11,66%,43,13,2,160,14,Sevilla,Round 38
6,52%,51,15,14,117,10,Valencia,14/05/22,15,48%,55,18,7,112,12,Espanyol,Round 37
11,55%,37,14,11,150,15,Osasuna,15/05/22,25,45%,59,6,10,142,13,Athletic Club,Round 37
20,59%,56,18,11,128,18,Sevilla,15/05/22,13,41%,50,14,11,123,17,Atl. Madrid,Round 37
11,62%,59,11,10,102,18,Real Madrid,15/05/22,11,38%,48,13,14,125,18,Cádiz,Round 37
20,51%,60,12,13,179,21,Elche,15/05/22,12,49%,52,11,17,166,18,Celta,Round 37
11,71%,39,8,3,111,7,Barcelona,15/05/22,15,29%,42,9,5,101,16,Getafe,Round 37
19,36%,60,10,7,135,16,Alavés,15/05/22,12,64%,42,19,5,128,12,Levante,Round 37
19,55%,53,8,10,133,19,Rayo Vallecano,15/05/22,16,45%,40,13,6,142,15,Mallorca,Round 37
16,39%,50,17,8,137,19,Granada,15/05/22,15,61%,59,11,9,127,19,Betis,Round 37
24,51%,52,16,7,142,13,Real Sociedad,15/05/22,20,49%,69,12,8,134,19,Villarreal,Round 37
11,55%,60,11,9,141,26,Betis,10/5/2022,10,45%,52,17,9,144,21,Valencia,Round 36
22,59%,65,11,6,182,20,Athletic Club,10/5/2022,23,41%,54,20,7,166,18,Granada,Round 36
8,46%,52,6,12,115,20,Celta,10/5/2022,6,54%,37,18,19,115,13,Barcelona,Round 36
10,54%,44,15,3,129,13,Espanyol,11/5/2022,24,46%,55,11,6,138,10,Alavés,Round 36
25,32%,52,17,4,138,15,Getafe,11/5/2022,34,68%,69,10,6,148,14,Osasuna,Round 36
20,28%,56,18,12,115,22,Mallorca,11/5/2022,21,72%,58,11,9,139,14,Sevilla,Round 36
10,44%,48,7,17,145,17,Atl. Madrid,11/5/2022,20,56%,52,16,10,149,17,Elche,Round 36
12,47%,43,11,17,149,14,Cádiz,12/5/2022,24,53%,56,13,17,133,10,Real Sociedad,Round 36
6,44%,45,10,4,114,14,Villarreal,12/5/2022,11,56%,49,13,2,115,21,Rayo Vallecano,Round 36
0,46%,29,6,11,110,11,Levante,12/5/2022,9,54%,37,8,14,89,16,Real Madrid,Round 36
18,65%,79,11,6,149,36,Real Sociedad,6/5/2022,13,35%,61,10,10,155,21,Levante,Round 35
23,41%,58,13,8,165,24,Granada,7/5/2022,31,59%,65,11,8,177,17,Mallorca,Round 35
12,41%,53,22,5,154,15,Valencia,7/5/2022,19,59%,63,13,8,170,17,Athletic Club,Round 35
17,45%,62,13,9,119,19,Elche,7/5/2022,13,55%,38,18,6,132,8,Cádiz,Round 35
23,33%,53,7,5,139,17,Alavés,7/5/2022,13,67%,50,7,10,142,14,Celta,Round 35
9,58%,52,18,11,113,14,Barcelona,7/5/2022,8,42%,43,16,10,116,13,Betis,Round 35
20,56%,61,14,9,148,13,Rayo Vallecano,8/5/2022,24,44%,61,20,12,153,16,Getafe,Round 35
16,47%,50,15,7,132,16,Sevilla,8/5/2022,10,53%,51,14,9,130,11,Villarreal,Round 35
19,49%,48,15,6,150,18,Osasuna,8/5/2022,23,51%,57,6,7,152,11,Espanyol,Round 35
19,59%,60,7,9,131,18,Real Madrid,8/5/2022,10,41%,40,17,7,124,17,Atl. Madrid,Round 35
15,42%,50,11,13,133,20,Cádiz,29/04/22,19,58%,49,15,2,142,16,Sevilla,Round 34
10,67%,48,5,6,127,11,Villarreal,30/04/22,11,33%,36,14,13,118,15,Alavés,Round 34
5,42%,38,6,7,90,14,Espanyol,30/04/22,7,58%,39,11,6,82,13,Real Madrid,Round 34
21,68%,53,21,4,161,11,Levante,30/04/22,13,32%,54,11,11,142,17,Valencia,Round 34
6,57%,50,15,6,131,18,Atl. Madrid,30/04/22,14,43%,41,18,17,117,9,Athletic Club,Round 34
13,43%,52,18,11,129,21,Osasuna,1/5/2022,12,57%,47,13,6,143,16,Elche,Round 34
18,58%,57,13,4,164,21,Celta,1/5/2022,27,42%,76,11,11,169,25,Granada,Round 34
16,56%,57,7,6,130,14,Real Sociedad,1/5/2022,15,44%,35,15,7,144,8,Rayo Vallecano,Round 34
13,29%,35,12,14,109,4,Mallorca,1/5/2022,12,71%,53,13,8,124,17,Barcelona,Round 34
21,65%,52,13,9,141,13,Betis,2/5/2022,15,35%,50,13,10,151,13,Getafe,Round 34
33,60%,85,15,9,181,20,Alavés,19/04/22,22,40%,66,25,8,163,20,Mallorca,Round 33
12,35%,48,14,14,128,17,Elche,19/04/22,14,65%,61,9,12,136,16,Betis,Round 33
7,42%,56,12,9,116,24,Valencia,19/04/22,4,58%,49,14,4,117,16,Villarreal,Round 33
17,36%,50,12,19,146,18,Granada,20/04/22,23,64%,61,9,13,166,16,Atl. Madrid,Round 33
27,29%,62,13,11,171,11,Getafe,20/04/22,14,71%,46,13,12,175,13,Celta,Round 33
7,65%,47,7,14,112,16,Real Madrid,20/04/22,11,35%,37,13,10,110,14,Osasuna,Round 33
17,43%,62,18,6,146,21,Rayo Vallecano,21/04/22,15,57%,61,14,11,141,20,Espanyol,Round 33
13,55%,47,12,6,126,21,Sevilla,21/04/22,16,45%,45,9,7,139,10,Levante,Round 33
18,42%,45,15,6,130,15,Athletic Club,21/04/22,27,58%,59,9,4,159,10,Cádiz,Round 33
18,44%,59,9,6,157,23,Barcelona,21/04/22,12,56%,51,12,10,162,19,Real Sociedad,Round 33
20,43%,75,7,8,110,26,Betis,15/04/22,11,57%,48,17,11,141,16,Real Sociedad,Round 32
14,48%,57,13,11,128,14,Mallorca,16/04/22,22,52%,51,17,3,140,11,Elche,Round 32
19,62%,58,9,10,186,16,Rayo Vallecano,16/04/22,35,38%,70,10,11,175,17,Alavés,Round 32
-1,-1,-1,-1,-1,-1,-1,Osasuna,16/04/22,-1,-1,-1,-1,-1,-1,-1,Valencia,Round 32
8,60%,50,6,6,121,9,Villarreal,16/04/22,12,40%,32,17,9,126,11,Getafe,Round 32
13,47%,44,9,8,116,15,Levante,17/04/22,11,53%,50,10,10,130,16,Granada,Round 32
13,48%,46,12,4,115,9,Espanyol,17/04/22,10,52%,41,18,3,145,10,Atl. Madrid,Round 32
15,50%,52,15,13,141,16,Celta,17/04/22,17,50%,60,13,6,175,12,Athletic Club,Round 32
9,59%,52,9,6,124,17,Real Madrid,17/04/22,5,41%,36,11,13,108,17,Sevilla,Round 32
14,25%,54,9,15,123,20,Cádiz,18/04/22,12,75%,57,16,14,145,14,Barcelona,Round 32
12,27%,45,7,6,127,21,Granada,8/4/2022,20,73%,64,7,5,153,19,Sevilla,Round 31
10,60%,55,10,5,126,17,Betis,9/4/2022,15,40%,44,18,9,143,15,Cádiz,Round 31
32,67%,84,11,4,159,25,Atl. Madrid,9/4/2022,19,33%,58,14,12,147,15,Mallorca,Round 31
