Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 38,21/05/21,Levante,2.0,0.0,0.0,0.0,Cádiz,2.0,2.0,0.0,0.0,Javier Estrada Fernandez,5.38,0.25,Ciudad de Valencia,"Valencia, Spain",
Round 38,22/05/21,Celta,2.0,6.0,0.0,0.0,Betis,3.0,6.0,0.0,1.0,Jesus Gil Manzano,5.27,0.26,Municipal de Balaidos,"Vigo, Spain",
Round 38,22/05/21,Eibar,0.0,0.0,0.0,0.0,Barcelona,1.0,3.0,0.0,0.0,Santiago Jaime Latre,5.58,0.22,Ipurua Municipal Stadium,"Eibar, Spain",
Round 38,22/05/21,Elche,2.0,3.0,0.0,0.0,Athletic Club,0.0,0.0,0.0,0.0,Carlos Del Cerro Grande,4.81,0.22,Estadio Martínez Valero,"Elche, Spain",
Round 38,22/05/21,Huesca,0.0,2.0,0.0,0.0,Valencia,0.0,1.0,0.0,0.0,Guillermo Cuadra Fernandez,5.03,0.27,El Alcoraz,"Huesca, Spain",
Round 38,22/05/21,Osasuna,0.0,1.0,0.0,0.0,Real Sociedad,1.0,0.0,0.0,0.0,Jorge Figueroa Vazquez,4.82,0.36,Estadio El Sadar,"Pamplona, Spain",
Round 38,22/05/21,Real Madrid,2.0,0.0,0.0,0.0,Villarreal,1.0,0.0,0.0,0.0,José Luis Munuera Montero,4.75,0.37,Estadio Alfredo di Stefano,"Madrid, Spain",
Round 38,22/05/21,Real Valladolid,1.0,4.0,0.0,0.0,Atl. Madrid,2.0,6.0,0.0,0.0,Jose Maria Sanchez Martinez,5.75,0.27,José Zorrilla,"Valladolid, Spain",
Round 38,23/05/21,Granada,0.0,4.0,0.0,0.0,Getafe,0.0,2.0,0.0,0.0,David Medie Jimenez,4.94,0.31,Estadio Nuevo Los Carmenes,"Granada, Spain",
Round 38,23/05/21,Sevilla,1.0,1.0,0.0,0.0,Alavés,0.0,0.0,0.0,0.0,Isidro Diaz de Mera Escuderos,6.35,0.35,Ramón Sánchez Pizjuán,"Seville, Spain",
Round 37,16/05/21,Athletic Club,0.0,3.0,1.0,0.0,Real Madrid,1.0,1.0,0.0,0.0,Antonio Mateu Lahoz,5.18,0.22,San Mamés,"Bilbao, Spain",
Round 37,16/05/21,Atl. Madrid,2.0,2.0,0.0,0.0,Osasuna,1.0,2.0,0.0,0.0,Juan Martinez Munuera,4.9,0.19,Cívitas Metropolitano,"Madrid, Spain",
Round 37,16/05/21,Barcelona,1.0,2.0,0.0,1.0,Celta,2.0,2.0,0.0,0.0,Ricardo De Burgos Bengoetxea,4.95,0.17,Spotify Camp Nou,"Barcelona, Spain",
Round 37,16/05/21,Cádiz,1.0,3.0,0.0,0.0,Elche,3.0,4.0,0.0,0.0,Cesar Soto Grado,5.5,0.2,Estadio Ramon de Carranza,"Cadiz, Spain",
Round 37,16/05/21,Alavés,4.0,2.0,0.0,0.0,Granada,2.0,4.0,0.0,0.0,Jose Maria Sanchez Martinez,5.75,0.27,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",
Round 37,16/05/21,Getafe,2.0,5.0,1.0,0.0,Levante,1.0,0.0,0.0,0.0,Adrian Cordero Vega,5.32,0.22,Coliseum Alfonso Pérez,"Getafe, Spain",
Round 37,16/05/21,Betis,1.0,1.0,0.0,0.0,Huesca,0.0,5.0,1.0,0.0,Pablo Gonzales Fuertes,5.91,0.37,Benito Villamarin,"Seville, Spain",
Round 37,16/05/21,Real Sociedad,4.0,2.0,0.0,0.0,Real Valladolid,1.0,4.0,1.0,0.0,Carlos Del Cerro Grande,4.81,0.22,Reale Arena,"San Sebastian, Spain",
Round 37,16/05/21,Valencia,4.0,0.0,0.0,0.0,Eibar,1.0,0.0,0.0,0.0,Valentin Pizarro Gomez,5.04,0.33,Mestalla,"Valencia, Spain",2689.0
Round 37,16/05/21,Villarreal,4.0,0.0,0.0,0.0,Sevilla,0.0,2.0,0.0,1.0,Guillermo Cuadra Fernandez,5.03,0.27,Estadio de la Ceramica,"Villarreal, Spain",5000.0
Round 36,11/5/2021,Osasuna,3.0,2.0,0.0,0.0,Cádiz,2.0,2.0,0.0,0.0,Santiago Jaime Latre,5.58,0.22,Estadio El Sadar,"Pamplona, Spain",
Round 36,11/5/2021,Elche,0.0,2.0,0.0,0.0,Alavés,2.0,4.0,0.0,0.0,Pablo Gonzales Fuertes,5.91,0.37,Estadio Martínez Valero,"Elche, Spain",
