Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 38,18/05/19,Levante,2.0,0.0,0.0,0.0,Atl. Madrid,2.0,1.0,1.0,0.0,Ignacio Iglesias Villanueva,5.62,0.35,Ciudad de Valencia,"Valencia, Spain",20575.0
Round 38,18/05/19,Espanyol,2.0,3.0,0.0,0.0,Real Sociedad,0.0,2.0,0.0,0.0,Santiago Jaime Latre,5.58,0.22,RCDE Stadium,"Cornella, Spain",26568.0
Round 38,18/05/19,Getafe,2.0,2.0,0.0,0.0,Villarreal,2.0,3.0,0.0,0.0,Javier Estrada Fernandez,5.38,0.25,Coliseum Alfonso Pérez,"Getafe, Spain",13579.0
Round 38,18/05/19,Real Valladolid,0.0,1.0,0.0,0.0,Valencia,2.0,4.0,0.0,0.0,Ricardo De Burgos Bengoetxea,4.96,0.17,José Zorrilla,"Valladolid, Spain",23455.0
Round 38,18/05/19,Sevilla,2.0,4.0,0.0,0.0,Athletic Club,0.0,2.0,0.0,0.0,Jose Maria Sanchez Martinez,5.75,0.27,Ramón Sánchez Pizjuán,"Seville, Spain",28060.0
Round 38,18/05/19,Celta,2.0,0.0,0.0,0.0,Rayo Vallecano,2.0,4.0,0.0,0.0,Antonio Mateu Lahoz,5.18,0.22,Municipal de Balaidos,"Vigo, Spain",21607.0
Round 38,18/05/19,Alavés,2.0,3.0,0.0,0.0,Girona,1.0,3.0,0.0,0.0,Mario Melero Lopez,5.55,0.21,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",11549.0
Round 38,18/05/19,Huesca,2.0,0.0,0.0,0.0,Leganés,1.0,1.0,0.0,0.0,Javier Alberola Rojas,3.7,0.15,El Alcoraz,"Huesca, Spain",5575.0
Round 38,19/05/19,Real Madrid,0.0,4.0,0.0,0.0,Betis,2.0,1.0,0.0,0.0,Alberto Undiano,4.53,0.14,Santiago Bernabéu,"Madrid, Spain",56900.0
Round 38,19/05/19,Eibar,2.0,4.0,0.0,0.0,Barcelona,2.0,2.0,0.0,0.0,José Luis Munuera Montero,4.75,0.37,Ipurua Municipal Stadium,"Eibar, Spain",5145.0
Round 37,12/5/2019,Athletic Club,3.0,4.0,0.0,0.0,Celta,1.0,3.0,0.0,0.0,Javier Estrada Fernandez,5.38,0.25,San Mamés,"Bilbao, Spain",42494.0
Round 37,12/5/2019,Atl. Madrid,1.0,5.0,0.0,0.0,Sevilla,1.0,4.0,0.0,0.0,Ricardo De Burgos Bengoetxea,4.96,0.17,Cívitas Metropolitano,"Madrid, Spain",60234.0
Round 37,12/5/2019,Barcelona,2.0,1.0,0.0,0.0,Getafe,0.0,3.0,0.0,0.0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Spotify Camp Nou,"Barcelona, Spain",57088.0
Round 37,12/5/2019,Girona,1.0,2.0,0.0,0.0,Levante,2.0,3.0,0.0,0.0,Carlos Del Cerro Grande,4.81,0.22,Estadi Montilivi,"Girona, Spain",13342.0
Round 37,12/5/2019,Leganés,0.0,3.0,0.0,1.0,Espanyol,2.0,1.0,0.0,0.0,Mario Melero Lopez,5.55,0.21,Estadio Municipal de Butarque,"Leganes, Spain",10597.0
Round 37,12/5/2019,Rayo Vallecano,1.0,2.0,0.0,0.0,Real Valladolid,2.0,2.0,0.0,0.0,Jose Maria Sanchez Martinez,5.75,0.27,Estadio de Vallecas,"Madrid, Spain",10400.0
Round 37,12/5/2019,Betis,2.0,3.0,0.0,0.0,Huesca,1.0,5.0,1.0,0.0,Adrian Cordero Vega,5.32,0.22,Benito Villamarin,"Seville, Spain",28078.0
Round 37,12/5/2019,Real Sociedad,3.0,1.0,0.0,0.0,Real Madrid,1.0,2.0,1.0,0.0,Juan Martinez Munuera,4.9,0.19,Reale Arena,"San Sebastian, Spain",27322.0
Round 37,12/5/2019,Valencia,3.0,2.0,0.0,0.0,Alavés,1.0,5.0,0.0,0.0,Guillermo Cuadra Fernandez,5.03,0.27,Mestalla,"Valencia, Spain",37744.0
Round 37,12/5/2019,Villarreal,1.0,3.0,0.0,0.0,Eibar,0.0,2.0,0.0,0.0,Pablo Gonzales Fuertes,5.91,0.37,Estadio de la Ceramica,"Villarreal, Spain",17901.0
Round 36,3/5/2019,Sevilla,0.0,1.0,0.0,0.0,Leganés,3.0,1.0,0.0,0.0,Alberto Undiano,4.53,0.14,Ramón Sánchez Pizjuán,"Seville, Spain",32797.0
Round 36,4/5/2019,Levante,4.0,1.0,0.0,0.0,Rayo Vallecano,1.0,3.0,0.0,1.0,Javier Estrada Fernandez,5.38,0.25,Ciudad de Valencia,"Valencia, Spain",19868.0
Round 36,4/5/2019,Espanyol,3.0,1.0,0.0,0.0,Atl. Madrid,0.0,2.0,0.0,0.0,José Luis Munuera Montero,4.75,0.37,RCDE Stadium,"Cornella, Spain",20207.0
Round 36,4/5/2019,Alavés,0.0,1.0,0.0,0.0,Real Sociedad,1.0,3.0,0.0,0.0,Javier Alberola Rojas,3.7,0.15,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",18509.0
Round 36,4/5/2019,Celta,2.0,1.0,0.0,0.0,Barcelona,0.0,5.0,0.0,0.0,Jose Maria Sanchez Martinez,5.75,0.27,Municipal de Balaidos,"Vigo, Spain",22519.0
Round 36,5/5/2019,Getafe,2.0,3.0,0.0,0.0,Girona,0.0,3.0,1.0,0.0,Alejandro Hernandez,5.51,0.27,Coliseum Alfonso Pérez,"Getafe, Spain",10615.0
Round 36,5/5/2019,Eibar,1.0,3.0,0.0,0.0,Betis,0.0,2.0,0.0,0.0,Ignacio Iglesias Villanueva,5.62,0.35,Ipurua Municipal Stadium,"Eibar, Spain",4725.0
Round 36,5/5/2019,Real Madrid,3.0,0.0,0.0,0.0,Villarreal,2.0,3.0,0.0,0.0,Jesus Gil Manzano,5.27,0.26,Santiago Bernabéu,"Madrid, Spain",46294.0
Round 36,5/5/2019,Real Valladolid,1.0,5.0,0.0,0.0,Athletic Club,0.0,5.0,0.0,0.0,Antonio Mateu Lahoz,5.18,0.22,José Zorrilla,"Valladolid, Spain",21151.0
Round 36,5/5/2019,Huesca,2.0,2.0,0.0,0.0,Valencia,6.0,1.0,0.0,0.0,Carlos Del Cerro Grande,4.81,0.22,El Alcoraz,"Huesca, Spain",6378.0
Round 35,27/04/19,Athletic Club,1.0,2.0,0.0,0.0,Alavés,1.0,2.0,0.0,0.0,Jesus Gil Manzano,5.27,0.26,San Mamés,"Bilbao, Spain",40402.0
Round 35,27/04/19,Atl. Madrid,1.0,4.0,0.0,0.0,Real Valladolid,0.0,2.0,0.0,0.0,Mario Melero Lopez,5.55,0.21,Cívitas Metropolitano,"Madrid, Spain",53123.0
Round 35,27/04/19,Leganés,0.0,1.0,0.0,0.0,Celta,0.0,0.0,0.0,0.0,Juan Martinez Munuera,4.9,0.19,Estadio Municipal de Butarque,"Leganes, Spain",10324.0
Round 35,27/04/19,Barcelona,1.0,4.0,0.0,0.0,Levante,0.0,3.0,0.0,0.0,Ricardo De Burgos Bengoetxea,4.96,0.17,Spotify Camp Nou,"Barcelona, Spain",91917.0
Round 35,28/04/19,Valencia,0.0,2.0,0.0,0.0,Eibar,1.0,3.0,0.0,0.0,Javier Estrada Fernandez,5.38,0.25,Mestalla,"Valencia, Spain",35395.0
Round 35,28/04/19,Girona,1.0,1.0,0.0,0.0,Sevilla,0.0,2.0,1.0,0.0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Estadi Montilivi,"Girona, Spain",11281.0
Round 35,28/04/19,Real Sociedad,2.0,2.0,0.0,0.0,Getafe,1.0,3.0,0.0,0.0,Eduardo Prieto Iglesias,4.81,0.21,Reale Arena,"San Sebastian, Spain",19386.0
Round 35,28/04/19,Villarreal,1.0,5.0,0.0,0.0,Huesca,1.0,2.0,1.0,0.0,Jose Maria Sanchez Martinez,5.75,0.27,Estadio de la Ceramica,"Villarreal, Spain",17901.0
Round 35,28/04/19,Rayo Vallecano,1.0,2.0,0.0,0.0,Real Madrid,0.0,5.0,0.0,0.0,Pablo Gonzales Fuertes,5.91,0.37,Estadio de Vallecas,"Madrid, Spain",13273.0
Round 35,29/04/19,Betis,1.0,4.0,0.0,0.0,Espanyol,1.0,1.0,0.0,0.0,Carlos Del Cerro Grande,4.81,0.22,Benito Villamarin,"Seville, Spain",30561.0
Round 34,23/04/19,Huesca,2.0,4.0,0.0,0.0,Eibar,0.0,1.0,0.0,0.0,David Medie Jimenez,4.94,0.31,El Alcoraz,"Huesca, Spain",6157.0
Round 34,23/04/19,Real Valladolid,1.0,4.0,0.0,0.0,Girona,0.0,3.0,0.0,0.0,Juan Martinez Munuera,4.9,0.19,José Zorrilla,"Valladolid, Spain",19106.0
Round 34,23/04/19,Alavés,0.0,3.0,0.0,0.0,Barcelona,2.0,1.0,0.0,0.0,Adrian Cordero Vega,5.32,0.22,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",18735.0
Round 34,24/04/19,Atl. Madrid,3.0,3.0,0.0,0.0,Valencia,2.0,3.0,0.0,0.0,Alejandro Hernandez,5.51,0.27,Cívitas Metropolitano,"Madrid, Spain",43531.0
Round 34,24/04/19,Espanyol,1.0,2.0,0.0,0.0,Celta,1.0,1.0,0.0,0.0,Alberto Undiano,4.53,0.14,RCDE Stadium,"Cornella, Spain",15680.0
