Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 38,19/07/20,Alavés,0.0,0.0,0.0,0.0,Barcelona,5.0,0.0,0.0,0.0,Juan Martinez Munuera,4.9,0.19,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",
Round 38,19/07/20,Real Valladolid,2.0,2.0,0.0,0.0,Betis,0.0,2.0,0.0,0.0,Santiago Jaime Latre,5.58,0.22,José Zorrilla,"Valladolid, Spain",
Round 38,19/07/20,Villarreal,4.0,0.0,0.0,0.0,Eibar,0.0,0.0,0.0,0.0,Javier Alberola Rojas,3.7,0.15,Estadio de la Ceramica,"Villarreal, Spain",
Round 38,19/07/20,Atl. Madrid,1.0,1.0,0.0,0.0,Real Sociedad,1.0,2.0,0.0,0.0,Pablo Gonzales Fuertes,5.91,0.37,Cívitas Metropolitano,"Madrid, Spain",
Round 38,19/07/20,Espanyol,0.0,2.0,0.0,0.0,Celta,0.0,3.0,0.0,0.0,Adrian Cordero Vega,5.32,0.22,RCDE Stadium,"Cornella, Spain",
Round 38,19/07/20,Granada,4.0,1.0,0.0,0.0,Athletic Club,0.0,2.0,0.0,0.0,Carlos Del Cerro Grande,4.81,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",
Round 38,19/07/20,Leganés,2.0,4.0,0.0,0.0,Real Madrid,2.0,1.0,0.0,0.0,Guillermo Cuadra Fernandez,5.03,0.27,Estadio Municipal de Butarque,"Leganes, Spain",
Round 38,19/07/20,Levante,1.0,2.0,0.0,0.0,Getafe,0.0,4.0,0.0,0.0,Ricardo De Burgos Bengoetxea,4.95,0.17,Estadio Camilo Cano,"La Nucía, Spain",
Round 38,19/07/20,Osasuna,2.0,2.0,0.0,0.0,Mallorca,2.0,0.0,0.0,0.0,Antonio Mateu Lahoz,5.18,0.22,Estadio El Sadar,"Pamplona, Spain",
Round 38,19/07/20,Sevilla,1.0,0.0,0.0,0.0,Valencia,0.0,1.0,0.0,0.0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",
