Round,Date,HomeTeam,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 1,17/08/18,Girona,1,0,0,Valladolid,1,0,0,Guillermo Cuadra Fernandez,5.04,0.27,Estadi Montilivi,"Girona, Spain",10368
Round 1,17/08/18,Betis,0,0,0,Levante,2,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Benito Villamarin,"Seville, Spain",46225
Round 1,18/08/18,Celta,3,0,0,Espanyol,2,0,0,Santiago Jaime Latre,5.58,0.22,Municipal de Balaidos,"Vigo, Spain",16215
Round 1,18/08/18,Villarreal,2,0,0,Real Sociedad,3,0,0,Mario Melero Lopez,5.53,0.2,Estadio de la Ceramica,"Villarreal, Spain",16250
Round 1,18/08/18,Barcelona,0,0,0,Alavés,2,0,0,Jose Maria Sanchez Martinez,5.72,0.28,Spotify Camp Nou,"Barcelona, Spain",52356
Round 1,19/08/18,Eibar,1,0,0,Huesca,1,0,0,Eduardo Prieto Iglesias,4.81,0.21,Ipurua Municipal Stadium,"Eibar, Spain",4234
Round 1,19/08/18,Rayo Vallecano,1,0,0,Sevilla,0,0,0,Antonio Mateu Lahoz,5.18,0.22,Estadio de Vallecas,"Madrid, Spain",11719
Round 1,19/08/18,Real Madrid,1,0,0,Getafe,7,0,0,Javier Estrada Fernandez,5.38,0.25,Santiago Bernabéu,"Madrid, Spain",48446
Round 1,20/08/18,Valencia,2,0,0,Atl. Madrid,3,0,0,Jesus Gil Manzano,5.28,0.26,Mestalla,"Valencia, Spain",46241
Round 1,20/08/18,Athletic Club,4,0,0,Leganés,5,0,0,Adrian Cordero Vega,5.32,0.22,San Mamés,"Bilbao, Spain",38327
