Round,Date,HomeTeam,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 13,28/11/14,Real Sociedad,-1,-1,-1,Elche,-1,-1,-1,Carlos Velasco Carballo,5.42,0.29,Reale Arena,"San Sebastian, Spain",22928
Round 13,29/11/14,Getafe,-1,-1,-1,Athletic Club,-1,-1,-1,Alfonso Alvarez Izquierdo,5.72,0.36,Coliseum Alfonso Pérez,"Getafe, Spain",6000
Round 13,29/11/14,Espanyol,-1,-1,-1,Levante,-1,-1,-1,Carlos Del Cerro Grande,4.81,0.22,RCDE Stadium,"Cornella, Spain",12723
Round 13,29/11/14,Málaga,-1,-1,-1,Real Madrid,-1,-1,-1,Inaki Vicandi Garrido,4.39,0.32,La Rosaleda,"Malaga, Spain",29025
Round 13,29/11/14,Celta,-1,-1,-1,Eibar,-1,-1,-1,Pedro Jesus Perez Montero,5.26,0.25,Municipal de Balaidos,"Vigo, Spain",16799
Round 13,30/11/14,Atl. Madrid,-1,-1,-1,Deportivo,-1,-1,-1,Jose Antonio Teixeira Vitienes,6.56,0.44,Vicente Calderón,"Madrid, Spain",45000
Round 13,30/11/14,Sevilla,-1,-1,-1,Granada,-1,-1,-1,Eduardo Prieto Iglesias,4.81,0.21,Ramón Sánchez Pizjuán,"Seville, Spain",30347
Round 13,30/11/14,Córdoba,-1,-1,-1,Villarreal,-1,-1,-1,Javier Estrada Fernandez,5.38,0.25,Estadio Nuevo Arcángel,"Cordoba, Spain",15998
Round 13,30/11/14,Valencia,-1,-1,-1,Barcelona,-1,-1,-1,David Fernandez Borbalan,5.63,0.31,Mestalla,"Valencia, Spain",38000
Round 13,01/12/14,Almería,4,0,0,Rayo Vallecano,4,0,0,Antonio Mateu Lahoz,5.18,0.22,Estadio del Mediterráneo,"Almeria, Spain",9121
Round 12,21/11/14,Athletic Club,1,0,0,Espanyol,4,0,0,Mario Melero Lopez,5.52,0.21,San Mamés,"Bilbao, Spain",28000
Round 12,22/11/14,Atl. Madrid,2,0,1,Málaga,4,0,1,Fernando Teixeira Vitienes,5.79,0.44,Vicente Calderón,"Madrid, Spain",44200
Round 12,22/11/14,Eibar,4,0,0,Real Madrid,2,0,0,David Fernandez Borbalan,5.63,0.31,Ipurua Municipal Stadium,"Eibar, Spain",5859
Round 12,22/11/14,Barcelona,1,0,0,Sevilla,2,0,0,Juan Martinez Munuera,4.9,0.19,Spotify Camp Nou,"Barcelona, Spain",78283
Round 12,22/11/14,Deportivo,3,0,0,Real Sociedad,1,0,0,Eduardo Prieto Iglesias,4.81,0.21,Riazor,"La Coruna, Spain",18521
Round 12,23/11/14,Rayo Vallecano,6,0,0,Celta,4,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Estadio de Vallecas,"Madrid, Spain",11321
Round 12,23/11/14,Levante,2,0,0,Valencia,1,0,0,Inaki Vicandi Garrido,4.39,0.32,Ciudad de Valencia,"Valencia, Spain",22012
Round 12,23/11/14,Elche,3,0,0,Córdoba,4,0,0,Alejandro Hernandez,5.52,0.27,Estadio Martínez Valero,"Elche, Spain",22636
Round 12,23/11/14,Villarreal,3,0,0,Getafe,2,0,0,Santiago Jaime Latre,5.58,0.22,Estadio de la Ceramica,"Villarreal, Spain",19500
Round 12,24/11/14,Granada,4,0,0,Almería,1,0,1,Ignacio Iglesias Villanueva,5.62,0.35,Estadio Nuevo Los Carmenes,"Granada, Spain",16957
Round 11,07/11/14,Córdoba,4,0,0,Deportivo,1,0,1,Antonio Mateu Lahoz,5.18,0.22,Estadio Nuevo Arcángel,"Cordoba, Spain",15643
Round 11,08/11/14,Almería,2,0,0,Barcelona,0,0,0,Alberto Undiano,4.53,0.14,Estadio del Mediterráneo,"Almeria, Spain",12606
Round 11,08/11/14,Getafe,1,0,0,Elche,3,0,0,David Fernandez Borbalan,5.63,0.31,Coliseum Alfonso Pérez,"Getafe, Spain",6000
Round 11,08/11/14,Real Madrid,0,0,0,Rayo Vallecano,4,0,0,Pedro Jesus Perez Montero,5.26,0.25,Santiago Bernabéu,"Madrid, Spain",76842
Round 11,08/11/14,Celta,1,0,0,Granada,4,0,0,Javier Estrada Fernandez,5.38,0.25,Municipal de Balaidos,"Vigo, Spain",16963
Round 11,08/11/14,Málaga,3,0,0,Eibar,3,0,1,Juan Martinez Munuera,4.9,0.19,La Rosaleda,"Malaga, Spain",22600
Round 11,09/11/14,Sevilla,2,0,0,Levante,6,0,0,Carlos Velasco Carballo,5.42,0.29,Ramón Sánchez Pizjuán,"Seville, Spain",28500
Round 11,09/11/14,Espanyol,3,0,0,Villarreal,3,0,0,Jesus Gil Manzano,5.28,0.26,RCDE Stadium,"Cornella, Spain",22000
Round 11,09/11/14,Valencia,0,0,0,Athletic Club,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Mestalla,"Valencia, Spain",39600
Round 11,09/11/14,Real Sociedad,2,0,0,Atl. Madrid,7,0,1,Alfonso Alvarez Izquierdo,5.72,0.36,Reale Arena,"San Sebastian, Spain",22768
Round 10,31/10/14,Deportivo,2,0,0,Getafe,1,0,0,Alejandro Hernandez,5.52,0.27,Riazor,"La Coruna, Spain",
Round 10,01/11/14,Granada,1,0,0,Real Madrid,2,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",18939
Round 10,01/11/14,Atl. Madrid,0,0,0,Córdoba,2,0,0,Carlos Clos Gomez,5.33,0.3,Vicente Calderón,"Madrid, Spain",50081
Round 10,01/11/14,Barcelona,1,0,0,Celta,2,0,0,Inaki Vicandi Garrido,4.39,0.32,Spotify Camp Nou,"Barcelona, Spain",71468
Round 10,01/11/14,Real Sociedad,2,0,0,Málaga,5,0,0,Santiago Jaime Latre,5.58,0.22,Reale Arena,"San Sebastian, Spain",21086
Round 10,02/11/14,Athletic Club,4,0,0,Sevilla,3,0,0,Javier Estrada Fernandez,5.38,0.25,San Mamés,"Bilbao, Spain",42000
Round 10,02/11/14,Villarreal,2,0,0,Valencia,3,0,0,Pedro Jesus Perez Montero,5.26,0.25,Estadio de la Ceramica,"Villarreal, Spain",23000
Round 10,02/11/14,Levante,3,0,0,Almería,2,0,0,Eduardo Prieto Iglesias,4.81,0.21,Ciudad de Valencia,"Valencia, Spain",
Round 10,02/11/14,Elche,4,0,2,Espanyol,2,0,0,Jose Antonio Teixeira Vitienes,6.56,0.44,Estadio Martínez Valero,"Elche, Spain",21472
Round 10,03/11/14,Rayo Vallecano,1,0,0,Eibar,2,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Estadio de Vallecas,"Madrid, Spain",10625
Round 9,24/10/14,Celta,0,0,0,Levante,3,0,0,Fernando Teixeira Vitienes,5.79,0.44,Municipal de Balaidos,"Vigo, Spain",19231
Round 9,25/10/14,Almería,2,0,0,Athletic Club,1,0,0,Juan Martinez Munuera,4.9,0.19,Estadio del Mediterráneo,"Almeria, Spain",12000
