Round,Date,HomeTeam,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 7,30/09/16,Real Sociedad,2,0,0,Betis,3,0,0,Daniel Jesus Trujillo Suarez,4.75,0.26,Reale Arena,"San Sebastian, Spain",18310
Round 7,01/10/16,Granada,1,0,0,Leganés,0,0,0,Santiago Jaime Latre,5.58,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",15050
Round 7,01/10/16,Sevilla,2,0,0,Alavés,6,0,0,Antonio Mateu Lahoz,5.18,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",32122
Round 7,01/10/16,Osasuna,3,0,0,Las Palmas,4,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Estadio El Sadar,"Pamplona, Spain",15415
Round 7,01/10/16,Deportivo,0,0,0,Sporting,4,0,0,Ricardo De Burgos Bengoetxea,4.94,0.17,Riazor,"La Coruna, Spain",24864
Round 7,02/10/16,Valencia,1,0,0,Atl. Madrid,3,0,0,Carlos Clos Gomez,5.33,0.3,Mestalla,"Valencia, Spain",43276
Round 7,02/10/16,Real Madrid,4,0,0,Eibar,5,0,0,Juan Martinez Munuera,4.9,0.19,Santiago Bernabéu,"Madrid, Spain",72103
Round 7,02/10/16,Espanyol,2,0,0,Villarreal,2,0,0,José Luis Munuera Montero,4.75,0.37,RCDE Stadium,"Cornella, Spain",20254
Round 7,02/10/16,Málaga,8,0,1,Athletic Club,3,1,0,Carlos Del Cerro Grande,4.81,0.22,La Rosaleda,"Malaga, Spain",23080
Round 7,02/10/16,Celta,1,0,0,Barcelona,3,0,0,Inaki Vicandi Garrido,4.39,0.32,Municipal de Balaidos,"Vigo, Spain",20901
Round 6,23/09/16,Betis,4,0,0,Málaga,6,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Benito Villamarin,"Seville, Spain",37038
Round 6,24/09/16,Eibar,4,0,0,Real Sociedad,2,1,0,Jose Maria Sanchez Martinez,5.72,0.28,Ipurua Municipal Stadium,"Eibar, Spain",4798
Round 6,24/09/16,Sporting,2,0,1,Barcelona,0,0,0,Carlos Del Cerro Grande,4.81,0.22,El Molinón,"Gijon, Spain",26098
Round 6,24/09/16,Athletic Club,2,0,0,Sevilla,2,1,0,Alejandro Hernandez,5.52,0.27,San Mamés,"Bilbao, Spain",42415
Round 6,24/09/16,Las Palmas,3,0,0,Real Madrid,2,0,0,Javier Estrada Fernandez,5.38,0.25,Gran Canaria,"Las Palmas de Gran Canaria, Spain",22520
Round 6,25/09/16,Leganés,4,0,0,Valencia,4,0,0,David Fernandez Borbalan,5.63,0.31,Estadio Municipal de Butarque,"Leganes, Spain",10622
Round 6,25/09/16,Atl. Madrid,1,0,0,Deportivo,3,0,1,Jesus Gil Manzano,5.28,0.26,Vicente Calderón,"Madrid, Spain",45653
Round 6,25/09/16,Villarreal,0,0,0,Osasuna,2,0,0,Daniel Ocon Arraiz,5.11,0.19,Estadio de la Ceramica,"Villarreal, Spain",18319
Round 6,25/09/16,Espanyol,2,0,0,Celta,3,0,0,Alberto Undiano,4.53,0.14,RCDE Stadium,"Cornella, Spain",17484
Round 6,26/09/16,Alavés,3,0,0,Granada,3,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",16371
Round 5,20/09/16,Málaga,2,0,0,Eibar,4,0,0,Ignacio Iglesias Villanueva,5.62,0.35,La Rosaleda,"Malaga, Spain",30370
Round 5,20/09/16,Sevilla,5,0,0,Betis,4,0,0,Javier Estrada Fernandez,5.38,0.25,Ramón Sánchez Pizjuán,"Seville, Spain",39849
Round 5,21/09/16,Celta,2,0,0,Sporting,3,0,0,Mario Melero Lopez,5.53,0.2,Municipal de Balaidos,"Vigo, Spain",14863
Round 5,21/09/16,Real Madrid,4,0,0,Villarreal,1,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Santiago Bernabéu,"Madrid, Spain",67328
Round 5,21/09/16,Barcelona,2,0,0,Atl. Madrid,4,0,0,David Fernandez Borbalan,5.63,0.31,Spotify Camp Nou,"Barcelona, Spain",89421
Round 5,21/09/16,Granada,1,0,0,Athletic Club,0,0,0,Juan Martinez Munuera,4.9,0.19,Estadio Nuevo Los Carmenes,"Granada, Spain",14603
Round 5,21/09/16,Real Sociedad,1,0,0,Las Palmas,2,1,0,José Luis Munuera Montero,4.75,0.37,Reale Arena,"San Sebastian, Spain",10974
Round 5,22/09/16,Deportivo,0,0,0,Leganés,3,0,0,Alberto Undiano,4.53,0.14,Riazor,"La Coruna, Spain",19467
Round 5,22/09/16,Osasuna,2,0,0,Espanyol,1,0,0,Inaki Vicandi Garrido,4.39,0.32,Estadio El Sadar,"Pamplona, Spain",14631
Round 5,22/09/16,Valencia,2,0,0,Alavés,3,0,0,Santiago Jaime Latre,5.58,0.22,Mestalla,"Valencia, Spain",32285
Round 4,16/09/16,Betis,5,0,1,Granada,4,0,1,Carlos Del Cerro Grande,4.81,0.22,Benito Villamarin,"Seville, Spain",36090
Round 4,17/09/16,Leganés,4,0,0,Barcelona,2,0,0,Ricardo De Burgos Bengoetxea,4.94,0.17,Estadio Municipal de Butarque,"Leganes, Spain",10958
Round 4,17/09/16,Atl. Madrid,0,0,0,Sporting,2,0,0,Daniel Ocon Arraiz,5.11,0.19,Vicente Calderón,"Madrid, Spain",45821
