Round,Date,HomeTeam,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 16,19/12/15,Valencia,2,0,0,Getafe,6,0,0,David Fernandez Borbalan,5.63,0.31,Mestalla,"Valencia, Spain",31598
Round 16,19/12/15,Espanyol,4,0,0,Las Palmas,4,0,0,Mario Melero Lopez,5.53,0.2,RCDE Stadium,"Cornella, Spain",17121
Round 16,19/12/15,Betis,7,0,0,Sevilla,5,0,0,Carlos Clos Gomez,5.33,0.3,Benito Villamarin,"Seville, Spain",50073
Round 16,19/12/15,Deportivo,1,0,1,Eibar,2,0,0,Javier Estrada Fernandez,5.38,0.25,Riazor,"La Coruna, Spain",19281
Round 16,20/12/15,Real Madrid,1,0,0,Rayo Vallecano,3,1,1,Ignacio Iglesias Villanueva,5.62,0.35,Santiago Bernabéu,"Madrid, Spain",61567
Round 16,20/12/15,Athletic Club,0,0,0,Levante,5,0,0,Alejandro Hernandez,5.52,0.27,San Mamés,"Bilbao, Spain",39380
Round 16,20/12/15,Granada,4,0,0,Celta,2,0,0,Juan Martinez Munuera,4.9,0.19,Estadio Nuevo Los Carmenes,"Granada, Spain",14537
Round 16,20/12/15,Real Sociedad,2,0,0,Villarreal,1,0,0,Carlos Del Cerro Grande,4.81,0.22,Reale Arena,"San Sebastian, Spain",21949
Round 16,20/12/15,Málaga,3,0,0,Atl. Madrid,5,0,1,Antonio Mateu Lahoz,5.18,0.22,La Rosaleda,"Malaga, Spain",19086
Round 16,17/02/16,Sporting,2,0,0,Barcelona,1,0,0,Ricardo De Burgos Bengoetxea,4.94,0.17,El Molinón,"Gijon, Spain",28140
Round 15,11/12/2015,Getafe,3,0,0,Real Sociedad,3,0,0,Pedro Jesus Perez Montero,5.26,0.25,Coliseum Alfonso Pérez,"Getafe, Spain",5567
Round 15,12/12/2015,Barcelona,0,0,0,Deportivo,2,0,0,Jose Maria Sanchez Martinez,5.72,0.28,Spotify Camp Nou,"Barcelona, Spain",67194
Round 15,12/12/2015,Celta,4,0,1,Espanyol,2,0,0,David Fernandez Borbalan,5.63,0.31,Municipal de Balaidos,"Vigo, Spain",17154
Round 15,12/12/2015,Levante,2,0,0,Granada,2,0,0,Inaki Vicandi Garrido,4.39,0.32,Ciudad de Valencia,"Valencia, Spain",12466
Round 15,12/12/2015,Sevilla,3,0,0,Sporting,3,0,1,Carlos Del Cerro Grande,4.81,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",35000
Round 15,12/12/2015,Las Palmas,3,0,0,Betis,0,0,0,Jesus Gil Manzano,5.28,0.26,Gran Canaria,"Las Palmas de Gran Canaria, Spain",16762
Round 15,13/12/15,Rayo Vallecano,1,0,0,Málaga,2,0,0,Carlos Clos Gomez,5.33,0.3,Estadio de Vallecas,"Madrid, Spain",9423
Round 15,13/12/15,Eibar,4,1,0,Valencia,4,1,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Ipurua Municipal Stadium,"Eibar, Spain",5182
Round 15,13/12/15,Atl. Madrid,1,0,0,Athletic Club,1,0,0,Juan Martinez Munuera,4.9,0.19,Vicente Calderón,"Madrid, Spain",50137
Round 15,13/12/15,Villarreal,2,0,0,Real Madrid,2,0,0,Alberto Undiano,4.53,0.14,Estadio de la Ceramica,"Villarreal, Spain",20468
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
