Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 18,12/1/2015,Rayo Vallecano,0,3,0,0,Córdoba,1,2,0,0,Javier Estrada Fernandez,5.38,0.25,10820,,
Round 17,3/1/2015,Atl. Madrid,3,2,0,0,Levante,1,3,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,52163,,
Round 17,3/1/2015,Sevilla,1,4,0,0,Celta,0,5,1,0,Carlos Velasco Carballo,5.42,0.29,31253,,
Round 17,3/1/2015,Elche,2,4,0,0,Villarreal,2,2,0,0,Carlos Clos Gomez,5.33,0.3,18283,,
Round 17,3/1/2015,Deportivo,1,1,0,0,Athletic Club,0,1,0,0,Alberto Undiano,4.53,0.14,20166,,
Round 17,3/1/2015,Málaga,1,4,0,0,Almería,2,5,0,1,Fernando Teixeira Vitienes,5.79,0.44,,,
Round 17,4/1/2015,Getafe,1,4,0,0,Rayo Vallecano,2,2,0,0,Alejandro Hernandez,5.51,0.27,6500,,
Round 17,4/1/2015,Valencia,2,6,0,0,Real Madrid,1,3,0,0,Jesus Gil Manzano,5.27,0.26,50738,,
Round 17,4/1/2015,Espanyol,1,1,0,0,Eibar,2,1,0,0,Antonio Mateu Lahoz,5.18,0.22,19136,,
Round 17,4/1/2015,Real Sociedad,1,5,0,0,Barcelona,0,4,0,0,Carlos Del Cerro Grande,4.81,0.22,,,
Round 17,5/1/2015,Córdoba,2,2,0,0,Granada,0,0,0,0,Inaki Vicandi Garrido,4.39,0.32,13092,,
Round 16,19/12/14,Celta,0,5,0,0,Almería,1,4,0,0,Jesus Gil Manzano,5.27,0.26,14397,,
Round 16,20/12/14,Barcelona,5,1,0,0,Córdoba,0,0,0,0,Antonio Mateu Lahoz,5.18,0.22,60066,,
Round 16,20/12/14,Levante,1,3,0,0,Real Sociedad,1,5,0,0,Santiago Jaime Latre,5.58,0.22,12000,,
Round 16,20/12/14,Eibar,0,7,0,0,Valencia,1,3,0,0,Carlos Velasco Carballo,5.42,0.29,4758,,
Round 16,20/12/14,Rayo Vallecano,1,3,0,0,Espanyol,3,5,0,1,Juan Martinez Munuera,4.9,0.19,,,
Round 16,21/12/14,Villarreal,3,1,1,0,Deportivo,0,3,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,15790,,
