Round,Date,HomeTeam,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 7,25/09/21,Sevilla,3,0,1,Espanyol,0,0,0,Pablo Gonzales Fuertes,5.91,0.37,Ramón Sánchez Pizjuán,"Seville, Spain",23956
Round 7,25/09/21,Real Madrid,1,0,0,Villarreal,2,0,0,Jesus Gil Manzano,5.28,0.26,Santiago Bernabéu,"Madrid, Spain",23985
Round 7,26/09/21,Mallorca,2,0,0,Osasuna,3,0,0,Miguel Angel Ortiz Arias,5.13,0.35,Estadi de Son Moix,"Palma, Spain",9359
Round 7,26/09/21,Barcelona,1,0,0,Levante,3,0,0,Isidro Diaz de Mera Escuderos,6.35,0.35,Spotify Camp Nou,"Barcelona, Spain",35334
Round 7,26/09/21,Rayo Vallecano,2,0,0,Cádiz,4,0,0,Ricardo De Burgos Bengoetxea,4.94,0.17,Estadio de Vallecas,"Madrid, Spain",5903
Round 7,26/09/21,Real Sociedad,1,0,0,Elche,3,0,0,Adrian Cordero Vega,5.32,0.22,Reale Arena,"San Sebastian, Spain",23941
Round 7,26/09/21,Betis,1,0,0,Getafe,3,0,0,Santiago Jaime Latre,5.58,0.22,Benito Villamarin,"Seville, Spain",29825
Round 7,27/09/21,Celta,2,0,0,Granada,7,0,0,Cesar Soto Grado,5.47,0.19,Municipal de Balaidos,"Vigo, Spain",6375
Round 6,21/09/21,Getafe,4,1,0,Atl. Madrid,5,0,0,Guillermo Cuadra Fernandez,5.03,0.27,Coliseum Alfonso Pérez,"Getafe, Spain",8950
Round 6,21/09/21,Athletic Club,3,0,0,Rayo Vallecano,3,0,0,José Luis Munuera Montero,4.75,0.37,San Mamés,"Bilbao, Spain",16236
Round 6,21/09/21,Levante,3,0,0,Celta,2,0,0,Jorge Figueroa Vazquez,4.79,0.35,Ciudad de Valencia,"Valencia, Spain",11989
Round 6,22/09/21,Espanyol,2,0,0,Alavés,1,0,0,Mario Melero Lopez,5.52,0.21,RCDE Stadium,"Cornella, Spain",
Round 6,22/09/21,Sevilla,5,0,0,Valencia,3,0,0,Jose Maria Sanchez Martinez,5.72,0.28,Ramón Sánchez Pizjuán,"Seville, Spain",23654
Round 6,22/09/21,Real Madrid,2,0,0,Mallorca,1,0,0,Javier Alberola Rojas,3.71,0.15,Santiago Bernabéu,"Madrid, Spain",
Round 6,22/09/21,Villarreal,1,0,0,Elche,2,0,0,Alejandro Muniz Ruiz,5.44,0.5,Estadio de la Ceramica,"Villarreal, Spain",8234
Round 6,23/09/21,Granada,5,0,0,Real Sociedad,1,0,0,Valentin Pizarro Gomez,5.04,0.33,Estadio Nuevo Los Carmenes,"Granada, Spain",9552
Round 6,23/09/21,Osasuna,2,0,0,Betis,0,0,0,Juan Martinez Munuera,4.9,0.19,Estadio El Sadar,"Pamplona, Spain",13758
Round 6,23/09/21,Cádiz,3,0,0,Barcelona,3,0,1,Carlos Del Cerro Grande,4.81,0.22,Estadio Ramon de Carranza,"Cadiz, Spain",12179
Round 5,17/09/21,Celta,3,0,0,Cádiz,3,0,0,Isidro Diaz de Mera Escuderos,6.35,0.35,Municipal de Balaidos,"Vigo, Spain",6754
Round 5,18/09/21,Rayo Vallecano,6,0,0,Getafe,7,0,0,Adrian Cordero Vega,5.32,0.22,Estadio de Vallecas,"Madrid, Spain",3280
Round 5,18/09/21,Atl. Madrid,5,0,1,Athletic Club,2,0,0,Jesus Gil Manzano,5.28,0.26,Cívitas Metropolitano,"Madrid, Spain",38798
Round 5,18/09/21,Elche,2,0,0,Levante,2,0,0,Miguel Angel Ortiz Arias,5.13,0.35,Estadio Martínez Valero,"Elche, Spain",
Round 5,18/09/21,Alavés,4,0,0,Osasuna,3,0,0,Alejandro Hernandez,5.52,0.27,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",8176
Round 5,19/09/21,Mallorca,2,0,0,Villarreal,3,0,0,Carlos Del Cerro Grande,4.81,0.22,Estadi de Son Moix,"Palma, Spain",9168
Round 5,19/09/21,Real Sociedad,2,0,0,Sevilla,3,0,0,Antonio Mateu Lahoz,5.18,0.22,Reale Arena,"San Sebastian, Spain",23757
Round 5,19/09/21,Betis,4,1,0,Espanyol,4,0,0,Cesar Soto Grado,5.47,0.19,Benito Villamarin,"Seville, Spain",30189
Round 5,19/09/21,Valencia,1,0,0,Real Madrid,5,0,0,Pablo Gonzales Fuertes,5.91,0.37,Mestalla,"Valencia, Spain",26689
Round 5,20/09/21,Barcelona,3,0,0,Granada,6,0,0,Santiago Jaime Latre,5.58,0.22,Spotify Camp Nou,"Barcelona, Spain",27
Round 4,11/09/21,Levante,3,0,0,Rayo Vallecano,4,0,0,Javier Alberola Rojas,3.71,0.15,Ciudad de Valencia,"Valencia, Spain",12974
Round 4,11/09/21,Athletic Club,1,0,0,Mallorca,2,0,0,Jorge Figueroa Vazquez,4.79,0.35,San Mamés,"Bilbao, Spain",14566
Round 4,12/09/21,Espanyol,1,0,0,Atl. Madrid,4,0,0,Juan Martinez Munuera,4.9,0.19,RCDE Stadium,"Cornella, Spain",15321
Round 4,12/09/21,Osasuna,4,0,0,Valencia,2,0,0,Ricardo De Burgos Bengoetxea,4.94,0.17,Estadio El Sadar,"Pamplona, Spain",15321
Round 4,12/09/21,Cádiz,3,0,1,Real Sociedad,0,0,0,Alejandro Muniz Ruiz,5.44,0.5,Estadio Ramon de Carranza,"Cadiz, Spain",11826
Round 4,12/09/21,Real Madrid,2,0,0,Celta,3,0,0,Jose Maria Sanchez Martinez,5.72,0.28,Santiago Bernabéu,"Madrid, Spain",19874
Round 4,13/09/21,Getafe,2,0,0,Elche,4,0,0,Mario Melero Lopez,5.52,0.21,Coliseum Alfonso Pérez,"Getafe, Spain",6856
Round 4,13/09/21,Granada,1,0,0,Betis,2,0,0,Guillermo Cuadra Fernandez,5.03,0.27,Estadio Nuevo Los Carmenes,"Granada, Spain",10201
Round 4,21/12/21,Villarreal,0,0,0,Alavés,2,0,0,Valentin Pizarro Gomez,5.04,0.33,Estadio de la Ceramica,"Villarreal, Spain",12530
Round 4,21/12/21,Sevilla,2,1,0,Barcelona,3,0,0,Carlos Del Cerro Grande,4.81,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",31358
Round 3,27/08/21,Mallorca,4,0,0,Espanyol,3,1,0,Isidro Diaz de Mera Escuderos,6.35,0.35,Estadi de Son Moix,"Palma, Spain",7529
Round 3,27/08/21,Valencia,1,0,0,Alavés,4,0,0,Miguel Angel Ortiz Arias,5.13,0.35,Mestalla,"Valencia, Spain",11000
Round 3,28/08/21,Celta,2,0,0,Athletic Club,1,0,0,Antonio Mateu Lahoz,5.18,0.22,Municipal de Balaidos,"Vigo, Spain",5492
Round 3,28/08/21,Elche,2,0,0,Sevilla,0,0,0,Valentin Pizarro Gomez,5.04,0.33,Estadio Martínez Valero,"Elche, Spain",10385
Round 3,28/08/21,Real Sociedad,1,0,0,Levante,1,0,0,José Luis Munuera Montero,4.75,0.37,Reale Arena,"San Sebastian, Spain",7758
Round 3,28/08/21,Betis,5,0,0,Real Madrid,3,0,0,Alejandro Hernandez,5.52,0.27,Benito Villamarin,"Seville, Spain",22590
Round 3,29/08/21,Barcelona,3,0,0,Getafe,1,0,0,Pablo Gonzales Fuertes,5.91,0.37,Spotify Camp Nou,"Barcelona, Spain",26543
Round 3,29/08/21,Cádiz,4,0,0,Osasuna,0,0,0,Adrian Cordero Vega,5.32,0.22,Estadio Ramon de Carranza,"Cadiz, Spain",7452
Round 3,29/08/21,Rayo Vallecano,1,0,0,Granada,4,0,0,Jesus Gil Manzano,5.28,0.26,Estadio de Vallecas,"Madrid, Spain",583
Round 3,29/08/21,Atl. Madrid,5,0,0,Villarreal,2,0,0,Cesar Soto Grado,5.47,0.19,Cívitas Metropolitano,"Madrid, Spain",26840
Round 2,20/08/21,Betis,4,0,0,Cádiz,0,0,0,Valentin Pizarro Gomez,5.04,0.33,Benito Villamarin,"Seville, Spain",
Round 2,21/08/21,Alavés,2,0,1,Mallorca,3,0,0,Alejandro Muniz Ruiz,5.44,0.5,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",
Round 2,21/08/21,Espanyol,3,0,0,Villarreal,4,0,0,Jorge Figueroa Vazquez,4.79,0.35,RCDE Stadium,"Cornella, Spain",
Round 2,21/08/21,Granada,4,0,0,Valencia,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",
Round 2,21/08/21,Athletic Club,1,0,0,Barcelona,2,1,0,Juan Martinez Munuera,4.9,0.19,San Mamés,"Bilbao, Spain",9394
Round 2,22/08/21,Real Sociedad,3,0,0,Rayo Vallecano,4,0,0,Santiago Jaime Latre,5.58,0.22,Reale Arena,"San Sebastian, Spain",7652
Round 2,22/08/21,Atl. Madrid,2,0,0,Elche,2,0,0,Ricardo De Burgos Bengoetxea,4.94,0.17,Cívitas Metropolitano,"Madrid, Spain",24926
Round 2,22/08/21,Levante,3,1,0,Real Madrid,2,0,0,Guillermo Cuadra Fernandez,5.03,0.27,Ciudad de Valencia,"Valencia, Spain",9838
Round 2,23/08/21,Getafe,3,0,0,Sevilla,2,0,0,Jose Maria Sanchez Martinez,5.72,0.28,Coliseum Alfonso Pérez,"Getafe, Spain",4810
Round 2,23/08/21,Osasuna,4,0,0,Celta,3,0,0,Javier Alberola Rojas,3.71,0.15,Estadio El Sadar,"Pamplona, Spain",7189
Round 1,13/08/21,Valencia,6,1,0,Getafe,2,0,1,Jesus Gil Manzano,5.28,0.26,Mestalla,"Valencia, Spain",9868
Round 1,14/08/21,Cádiz,1,0,0,Levante,5,0,0,Santiago Jaime Latre,5.58,0.22,Estadio Ramon de Carranza,"Cadiz, Spain",6941
Round 1,14/08/21,Mallorca,1,0,0,Betis,3,0,0,Antonio Mateu Lahoz,5.18,0.22,Estadi de Son Moix,"Palma, Spain",
Round 1,14/08/21,Alavés,1,0,0,Real Madrid,2,0,0,Cesar Soto Grado,5.47,0.19,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",
Round 1,14/08/21,Osasuna,3,0,0,Espanyol,3,0,0,Miguel Angel Ortiz Arias,5.13,0.35,Estadio El Sadar,"Pamplona, Spain",
Round 1,15/08/21,Celta,4,0,1,Atl. Madrid,5,1,0,José Luis Munuera Montero,4.75,0.37,Municipal de Balaidos,"Vigo, Spain",5401
Round 1,15/08/21,Barcelona,2,0,0,Real Sociedad,4,0,0,Alejandro Hernandez,5.52,0.27,Spotify Camp Nou,"Barcelona, Spain",20384
Round 1,15/08/21,Sevilla,1,0,0,Rayo Vallecano,0,1,0,Isidro Diaz de Mera Escuderos,6.35,0.35,Ramón Sánchez Pizjuán,"Seville, Spain",13962
Round 1,16/08/21,Villarreal,4,0,1,Granada,1,0,0,Pablo Gonzales Fuertes,5.91,0.37,Estadio de la Ceramica,"Villarreal, Spain",7837
Round 1,16/08/21,Elche,2,0,0,Athletic Club,2,0,0,Adrian Cordero Vega,5.32,0.22,Estadio Martínez Valero,"Elche, Spain",9145
