Round,Date,HomeTeam,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 9,16/10/21,Levante,3,0,0,Getafe,3,0,0,Mario Melero Lopez,5.52,0.21,Ciudad de Valencia,"Valencia, Spain",
Round 9,16/10/21,Real Sociedad,2,0,1,Mallorca,3,0,0,Pablo Gonzales Fuertes,5.91,0.37,Reale Arena,"San Sebastian, Spain",
Round 9,17/10/21,Rayo Vallecano,2,0,0,Elche,2,0,0,Santiago Jaime Latre,5.58,0.22,Estadio de Vallecas,"Madrid, Spain",6899
Round 9,17/10/21,Celta,2,0,0,Sevilla,3,0,0,Ricardo De Burgos Bengoetxea,4.94,0.17,Municipal de Balaidos,"Vigo, Spain",10774
Round 9,17/10/21,Villarreal,1,0,0,Osasuna,5,0,0,Adrian Cordero Vega,5.32,0.22,Estadio de la Ceramica,"Villarreal, Spain",14831
Round 9,17/10/21,Barcelona,2,0,0,Valencia,3,0,0,Jesus Gil Manzano,5.28,0.26,Spotify Camp Nou,"Barcelona, Spain",
Round 9,18/10/21,Alavés,1,0,0,Betis,1,0,0,Miguel Angel Ortiz Arias,5.13,0.35,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",10227
Round 9,18/10/21,Espanyol,1,0,0,Cádiz,0,0,0,Antonio Mateu Lahoz,5.18,0.22,RCDE Stadium,"Cornella, Spain",15
Round 9,01/12/21,Real Madrid,2,0,0,Athletic Club,3,0,0,Isidro Diaz de Mera Escuderos,6.35,0.35,Santiago Bernabéu,"Madrid, Spain",
Round 9,22/12/21,Granada,4,0,0,Atl. Madrid,1,0,0,Alejandro Hernandez,5.52,0.27,Estadio Nuevo Los Carmenes,"Granada, Spain",13034
Round 8,01/10/21,Athletic Club,3,0,0,Alavés,2,0,0,Carlos Del Cerro Grande,4.81,0.22,San Mamés,"Bilbao, Spain",28665
Round 8,02/10/21,Osasuna,3,0,0,Rayo Vallecano,3,0,0,Mario Melero Lopez,5.52,0.21,Estadio El Sadar,"Pamplona, Spain",19238
Round 8,02/10/21,Mallorca,4,0,0,Levante,4,0,0,Alejandro Muniz Ruiz,5.44,0.5,Estadi de Son Moix,"Palma, Spain",11803
Round 8,02/10/21,Cádiz,3,0,0,Valencia,4,0,0,Valentin Pizarro Gomez,5.04,0.33,Estadio Ramon de Carranza,"Cadiz, Spain",14794
Round 8,02/10/21,Atl. Madrid,2,0,0,Barcelona,1,0,0,Juan Martinez Munuera,4.9,0.19,Cívitas Metropolitano,"Madrid, Spain",60594
Round 8,03/10/21,Elche,4,0,0,Celta,3,0,0,José Luis Munuera Montero,4.75,0.37,Estadio Martínez Valero,"Elche, Spain",11299
Round 8,03/10/21,Espanyol,2,0,0,Real Madrid,1,0,0,Guillermo Cuadra Fernandez,5.03,0.27,RCDE Stadium,"Cornella, Spain",23377
Round 8,03/10/21,Getafe,4,0,0,Real Sociedad,2,0,0,Jorge Figueroa Vazquez,4.79,0.35,Coliseum Alfonso Pérez,"Getafe, Spain",
Round 8,03/10/21,Villarreal,2,0,0,Betis,4,0,0,Jose Maria Sanchez Martinez,5.72,0.28,Estadio de la Ceramica,"Villarreal, Spain",16719
Round 8,03/10/21,Granada,3,0,0,Sevilla,3,0,1,Javier Alberola Rojas,3.71,0.15,Estadio Nuevo Los Carmenes,"Granada, Spain",12334
Round 7,25/09/21,Alavés,2,0,0,Atl. Madrid,3,0,0,Antonio Mateu Lahoz,5.18,0.22,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",
Round 7,25/09/21,Valencia,4,0,1,Athletic Club,2,0,0,Alejandro Hernandez,5.52,0.27,Mestalla,"Valencia, Spain",13680
