Round,Date,HomeTeam,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 6,25/09/19,Valencia,1,0,0,Getafe,4,0,0,José Luis Munuera Montero,4.75,0.37,Mestalla,"Valencia, Spain",
Round 6,25/09/19,Real Madrid,2,0,0,Osasuna,2,0,0,Antonio Mateu Lahoz,5.18,0.22,Santiago Bernabéu,"Madrid, Spain",57520
Round 6,26/09/19,Eibar,3,0,0,Sevilla,4,0,0,Pablo Gonzales Fuertes,5.91,0.37,Ipurua Municipal Stadium,"Eibar, Spain",5434
Round 6,26/09/19,Celta,2,0,0,Espanyol,5,0,0,Jose Maria Sanchez Martinez,5.72,0.28,Municipal de Balaidos,"Vigo, Spain",16361
Round 6,26/09/19,Real Sociedad,1,0,0,Alavés,3,0,1,David Medie Jimenez,4.94,0.31,Reale Arena,"San Sebastian, Spain",28720
Round 5,20/09/19,Osasuna,1,0,0,Betis,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Estadio El Sadar,"Pamplona, Spain",15569
Round 5,21/09/19,Villarreal,2,0,0,Valladolid,1,0,0,Cesar Soto Grado,5.47,0.19,Estadio de la Ceramica,"Villarreal, Spain",16195
Round 5,21/09/19,Levante,0,0,0,Eibar,2,0,0,Javier Alberola Rojas,3.71,0.15,Ciudad de Valencia,"Valencia, Spain",18904
Round 5,21/09/19,Atl. Madrid,3,0,0,Celta,5,0,0,Mario Melero Lopez,5.53,0.2,Cívitas Metropolitano,"Madrid, Spain",
Round 5,21/09/19,Granada,3,0,0,Barcelona,2,0,0,Guillermo Cuadra Fernandez,5.04,0.27,Estadio Nuevo Los Carmenes,"Granada, Spain",18880
Round 5,22/09/19,Getafe,4,0,0,Mallorca,5,0,0,Santiago Jaime Latre,5.58,0.22,Coliseum Alfonso Pérez,"Getafe, Spain",11338
Round 5,22/09/19,Espanyol,1,0,0,Real Sociedad,0,0,0,Adrian Cordero Vega,5.32,0.22,RCDE Stadium,"Cornella, Spain",19173
Round 5,22/09/19,Valencia,3,0,0,Leganés,4,0,0,Javier Estrada Fernandez,5.38,0.25,Mestalla,"Valencia, Spain",39014
Round 5,22/09/19,Athletic Club,1,0,0,Alavés,4,0,0,Jesus Gil Manzano,5.28,0.26,San Mamés,"Bilbao, Spain",45143
Round 5,22/09/19,Sevilla,3,0,0,Real Madrid,2,0,0,Juan Martinez Munuera,4.9,0.19,Ramón Sánchez Pizjuán,"Seville, Spain",42354
Round 4,13/09/19,Mallorca,4,0,0,Athletic Club,3,0,0,Pablo Gonzales Fuertes,5.91,0.37,Estadi de Son Moix,"Palma, Spain",16390
Round 4,14/09/19,Real Madrid,2,0,0,Levante,2,0,0,Ricardo De Burgos Bengoetxea,4.94,0.17,Santiago Bernabéu,"Madrid, Spain",60401
Round 4,14/09/19,Leganés,2,0,0,Villarreal,0,0,0,David Medie Jimenez,4.94,0.31,Estadio Municipal de Butarque,"Leganes, Spain",7670
Round 4,14/09/19,Real Sociedad,1,0,0,Atl. Madrid,3,0,0,Antonio Mateu Lahoz,5.18,0.22,Reale Arena,"San Sebastian, Spain",34719
Round 4,14/09/19,Barcelona,1,0,0,Valencia,4,0,0,Jose Maria Sanchez Martinez,5.72,0.28,Spotify Camp Nou,"Barcelona, Spain",81617
Round 4,15/09/19,Eibar,2,0,0,Espanyol,3,0,1,Valentin Pizarro Gomez,5.04,0.33,Ipurua Municipal Stadium,"Eibar, Spain",5410
Round 4,15/09/19,Alavés,5,0,0,Sevilla,5,0,0,Alejandro Hernandez,5.52,0.27,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",16309
Round 4,15/09/19,Celta,4,2,0,Granada,2,0,0,Eduardo Prieto Iglesias,4.81,0.21,Municipal de Balaidos,"Vigo, Spain",18259
Round 4,15/09/19,Valladolid,0,0,0,Osasuna,1,0,0,José Luis Munuera Montero,4.75,0.37,José Zorrilla,"Valladolid, Spain",20670
Round 4,15/09/19,Betis,3,2,0,Getafe,6,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Benito Villamarin,"Seville, Spain",47884
Round 3,30/08/19,Sevilla,4,0,0,Celta,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",37787
Round 3,30/08/19,Athletic Club,2,0,0,Real Sociedad,3,0,0,Javier Estrada Fernandez,5.38,0.25,San Mamés,"Bilbao, Spain",46697
Round 3,31/08/19,Osasuna,3,0,0,Barcelona,4,0,0,Juan Martinez Munuera,4.9,0.19,Estadio El Sadar,"Pamplona, Spain",16742
Round 3,31/08/19,Getafe,3,0,0,Alavés,1,0,0,Mario Melero Lopez,5.53,0.2,Coliseum Alfonso Pérez,"Getafe, Spain",10806
Round 3,31/08/19,Levante,2,0,0,Valladolid,2,0,0,Adrian Cordero Vega,5.32,0.22,Ciudad de Valencia,"Valencia, Spain",19347
Round 3,31/08/19,Betis,4,0,0,Leganés,2,0,0,Guillermo Cuadra Fernandez,5.04,0.27,Benito Villamarin,"Seville, Spain",47819
Round 3,01/09/19,Valencia,0,0,0,Mallorca,1,0,0,Javier Alberola Rojas,3.71,0.15,Mestalla,"Valencia, Spain",40441
Round 3,01/09/19,Atl. Madrid,0,0,0,Eibar,3,0,0,Santiago Jaime Latre,5.58,0.22,Cívitas Metropolitano,"Madrid, Spain",56664
Round 3,01/09/19,Espanyol,2,0,0,Granada,3,0,0,Cesar Soto Grado,5.47,0.19,RCDE Stadium,"Cornella, Spain",20870
Round 3,01/09/19,Villarreal,1,0,0,Real Madrid,3,0,1,Jesus Gil Manzano,5.28,0.26,Estadio de la Ceramica,"Villarreal, Spain",20128
Round 2,23/08/19,Granada,1,0,0,Sevilla,1,0,0,Jose Maria Sanchez Martinez,5.72,0.28,Estadio Nuevo Los Carmenes,"Granada, Spain",15849
Round 2,23/08/19,Levante,1,0,0,Villarreal,2,0,0,José Luis Munuera Montero,4.75,0.37,Ciudad de Valencia,"Valencia, Spain",20240
Round 2,24/08/19,Osasuna,4,0,0,Eibar,4,0,0,David Medie Jimenez,4.94,0.31,Estadio El Sadar,"Pamplona, Spain",13978
Round 2,24/08/19,Real Madrid,2,0,0,Valladolid,2,0,0,Pablo Gonzales Fuertes,5.91,0.37,Santiago Bernabéu,"Madrid, Spain",63037
Round 2,24/08/19,Celta,1,0,0,Valencia,2,0,0,Alejandro Hernandez,5.52,0.27,Municipal de Balaidos,"Vigo, Spain",20034
Round 2,24/08/19,Getafe,2,0,0,Athletic Club,1,0,0,Antonio Mateu Lahoz,5.18,0.22,Coliseum Alfonso Pérez,"Getafe, Spain",10103
Round 2,25/08/19,Alavés,3,0,0,Espanyol,1,0,0,Eduardo Prieto Iglesias,4.81,0.21,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",14567
Round 2,25/08/19,Mallorca,1,0,0,Real Sociedad,2,0,0,Valentin Pizarro Gomez,5.04,0.33,Estadi de Son Moix,"Palma, Spain",18028
Round 2,25/08/19,Leganés,4,0,0,Atl. Madrid,5,0,0,Ricardo De Burgos Bengoetxea,4.94,0.17,Estadio Municipal de Butarque,"Leganes, Spain",11742
Round 2,25/08/19,Barcelona,1,0,0,Betis,1,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Spotify Camp Nou,"Barcelona, Spain",79159
Round 1,16/08/19,Athletic Club,1,0,0,Barcelona,1,0,0,Carlos Del Cerro Grande,4.81,0.22,San Mamés,"Bilbao, Spain",47693
Round 1,17/08/19,Celta,6,0,0,Real Madrid,2,1,0,Javier Estrada Fernandez,5.38,0.25,Municipal de Balaidos,"Vigo, Spain",23614
Round 1,17/08/19,Valencia,3,0,1,Real Sociedad,4,0,0,Jesus Gil Manzano,5.28,0.26,Mestalla,"Valencia, Spain",41953
Round 1,17/08/19,Mallorca,2,0,0,Eibar,3,0,0,Mario Melero Lopez,5.53,0.2,Estadi de Son Moix,"Palma, Spain",14517
Round 1,17/08/19,Leganés,1,1,0,Osasuna,4,0,0,Javier Alberola Rojas,3.71,0.15,Estadio Municipal de Butarque,"Leganes, Spain",10058
Round 1,17/08/19,Villarreal,3,0,0,Granada,1,0,0,Adrian Cordero Vega,5.32,0.22,Estadio de la Ceramica,"Villarreal, Spain",14753
Round 1,18/08/19,Alavés,2,0,0,Levante,1,0,0,Cesar Soto Grado,5.47,0.19,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",10053
Round 1,18/08/19,Espanyol,2,0,0,Sevilla,2,0,0,Juan Martinez Munuera,4.9,0.19,RCDE Stadium,"Cornella, Spain",18920
Round 1,18/08/19,Betis,2,1,0,Valladolid,6,0,0,Santiago Jaime Latre,5.58,0.22,Benito Villamarin,"Seville, Spain",49554
Round 1,18/08/19,Atl. Madrid,2,0,1,Getafe,4,1,0,Guillermo Cuadra Fernandez,5.04,0.27,Cívitas Metropolitano,"Madrid, Spain",55099
