Round,Date,HomeTeam,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 7,27/09/19,Villarreal,2,0,0,Betis,2,0,0,Javier Estrada Fernandez,5.38,0.25,Estadio de la Ceramica,"Villarreal, Spain",18135
Round 7,28/09/19,Athletic Club,2,0,0,Valencia,5,0,0,Mario Melero Lopez,5.53,0.2,San Mamés,"Bilbao, Spain",42420
Round 7,28/09/19,Getafe,4,0,0,Barcelona,3,0,1,Jesus Gil Manzano,5.28,0.26,Coliseum Alfonso Pérez,"Getafe, Spain",15135
Round 7,28/09/19,Granada,3,0,0,Leganés,4,0,0,Adrian Cordero Vega,5.32,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",15519
Round 7,28/09/19,Atl. Madrid,1,0,0,Real Madrid,2,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Cívitas Metropolitano,"Madrid, Spain",68032
Round 7,29/09/19,Espanyol,2,1,0,Valladolid,0,0,0,Guillermo Cuadra Fernandez,5.04,0.27,RCDE Stadium,"Cornella, Spain",20911
Round 7,29/09/19,Eibar,3,0,0,Celta,1,0,0,Juan Martinez Munuera,4.9,0.19,Ipurua Municipal Stadium,"Eibar, Spain",5453
Round 7,29/09/19,Alavés,2,0,0,Mallorca,3,0,0,Carlos Del Cerro Grande,4.81,0.22,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",17135
Round 7,29/09/19,Levante,5,0,1,Osasuna,0,0,0,Cesar Soto Grado,5.47,0.19,Ciudad de Valencia,"Valencia, Spain",19362
Round 7,29/09/19,Sevilla,1,0,0,Real Sociedad,1,0,0,Javier Alberola Rojas,3.71,0.15,Ramón Sánchez Pizjuán,"Seville, Spain",37414
Round 6,24/09/19,Valladolid,3,0,0,Granada,2,0,0,Valentin Pizarro Gomez,5.04,0.33,José Zorrilla,"Valladolid, Spain",18410
Round 6,24/09/19,Betis,2,0,0,Levante,2,0,0,Eduardo Prieto Iglesias,4.81,0.21,Benito Villamarin,"Seville, Spain",44560
Round 6,24/09/19,Barcelona,4,0,0,Villarreal,2,0,0,Ricardo De Burgos Bengoetxea,4.94,0.17,Spotify Camp Nou,"Barcelona, Spain",70316
Round 6,25/09/19,Leganés,0,0,0,Athletic Club,1,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Estadio Municipal de Butarque,"Leganes, Spain",11036
Round 6,25/09/19,Mallorca,3,0,0,Atl. Madrid,4,0,1,Alejandro Hernandez,5.52,0.27,Estadi de Son Moix,"Palma, Spain",19348
