Round,Date,HomeTeam,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 8,13/10/17,Espanyol,2,0,0,Levante,3,0,0,Alberto Undiano,4.53,0.14,RCDE Stadium,"Cornella, Spain",19365
Round 8,14/10/17,Athletic Club,6,0,0,Sevilla,5,0,0,Ignacio Iglesias Villanueva,5.62,0.35,San Mamés,"Bilbao, Spain",40197
Round 8,14/10/17,Getafe,2,0,0,Real Madrid,3,0,0,Juan Martinez Munuera,4.9,0.19,Coliseum Alfonso Pérez,"Getafe, Spain",15350
Round 8,14/10/17,Alavés,1,0,0,Real Sociedad,1,0,0,Javier Alberola Rojas,3.71,0.15,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",19840
Round 8,14/10/17,Atl. Madrid,3,0,0,Barcelona,2,0,0,Antonio Mateu Lahoz,5.18,0.22,Cívitas Metropolitano,"Madrid, Spain",64393
Round 8,15/10/17,Eibar,2,0,0,Deportivo,2,0,0,Santiago Jaime Latre,5.58,0.22,Ipurua Municipal Stadium,"Eibar, Spain",5125
Round 8,15/10/17,Girona,4,0,0,Villarreal,4,0,0,Carlos Del Cerro Grande,4.81,0.22,Estadi Montilivi,"Girona, Spain",9935
Round 8,15/10/17,Málaga,3,0,1,Leganés,3,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,La Rosaleda,"Malaga, Spain",23951
Round 8,15/10/17,Betis,1,0,0,Valencia,4,0,0,Jose Maria Sanchez Martinez,5.72,0.28,Benito Villamarin,"Seville, Spain",48792
Round 8,16/10/17,Las Palmas,2,0,0,Celta,1,1,0,David Medie Jimenez,4.94,0.31,Gran Canaria,"Las Palmas de Gran Canaria, Spain",15799
Round 7,29/09/17,Celta,2,0,0,Girona,5,0,0,Pablo Gonzales Fuertes,5.91,0.37,Municipal de Balaidos,"Vigo, Spain",16126
Round 7,30/09/17,Deportivo,6,0,0,Getafe,3,0,0,Javier Estrada Fernandez,5.38,0.25,Riazor,"La Coruna, Spain",19329
Round 7,30/09/17,Sevilla,2,0,0,Málaga,1,0,0,Daniel Jesus Trujillo Suarez,4.75,0.26,Ramón Sánchez Pizjuán,"Seville, Spain",34430
Round 7,30/09/17,Levante,2,0,0,Alavés,4,0,0,David Fernandez Borbalan,5.63,0.31,Ciudad de Valencia,"Valencia, Spain",18528
Round 7,30/09/17,Leganés,2,0,0,Atl. Madrid,1,0,0,Jesus Gil Manzano,5.28,0.26,Estadio Municipal de Butarque,"Leganes, Spain",11454
Round 7,01/10/17,Real Sociedad,3,0,0,Betis,3,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Reale Arena,"San Sebastian, Spain",19669
Round 7,01/10/17,Barcelona,5,0,0,Las Palmas,1,0,0,José Luis Munuera Montero,4.75,0.37,Spotify Camp Nou,"Barcelona, Spain",
Round 7,01/10/17,Valencia,3,0,0,Athletic Club,4,0,0,Alejandro Hernandez,5.52,0.27,Mestalla,"Valencia, Spain",42070
Round 7,01/10/17,Villarreal,2,0,0,Eibar,1,0,0,Mario Melero Lopez,5.53,0.2,Estadio de la Ceramica,"Villarreal, Spain",17095
Round 7,01/10/17,Real Madrid,2,0,0,Espanyol,2,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Santiago Bernabéu,"Madrid, Spain",71205
Round 6,23/09/17,Atl. Madrid,4,0,0,Sevilla,3,0,0,Juan Martinez Munuera,4.9,0.19,Cívitas Metropolitano,"Madrid, Spain",60823
Round 6,23/09/17,Alavés,5,0,0,Real Madrid,2,0,0,Alberto Undiano,4.53,0.14,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",19559
Round 6,23/09/17,Málaga,6,0,1,Athletic Club,2,0,0,Carlos Del Cerro Grande,4.81,0.22,La Rosaleda,"Malaga, Spain",23425
Round 6,23/09/17,Girona,3,0,0,Barcelona,0,0,0,Jose Maria Sanchez Martinez,5.72,0.28,Estadi Montilivi,"Girona, Spain",13305
Round 6,24/09/17,Espanyol,1,0,0,Deportivo,2,0,0,Ricardo De Burgos Bengoetxea,4.94,0.17,RCDE Stadium,"Cornella, Spain",19585
Round 6,24/09/17,Getafe,1,0,0,Villarreal,4,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Coliseum Alfonso Pérez,"Getafe, Spain",10874
Round 6,24/09/17,Eibar,2,0,0,Celta,1,0,0,David Fernandez Borbalan,5.63,0.31,Ipurua Municipal Stadium,"Eibar, Spain",5345
Round 6,24/09/17,Las Palmas,1,0,0,Leganés,3,0,0,Javier Alberola Rojas,3.71,0.15,Gran Canaria,"Las Palmas de Gran Canaria, Spain",17560
Round 6,24/09/17,Real Sociedad,2,0,1,Valencia,6,0,1,Santiago Jaime Latre,5.58,0.22,Reale Arena,"San Sebastian, Spain",20266
