Round,Date,HomeTeam,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 38,23/05/15,Levante,2,0,0,Elche,3,0,0,Mario Melero Lopez,5.52,0.21,Ciudad de Valencia,"Valencia, Spain",11847
Round 38,23/05/15,Almería,2,0,0,Valencia,5,0,1,Alejandro Hernandez,5.52,0.27,Estadio del Mediterráneo,"Almeria, Spain",11137
Round 38,23/05/15,Athletic Club,0,0,0,Villarreal,1,0,0,Eduardo Prieto Iglesias,4.81,0.21,San Mamés,"Bilbao, Spain",43276
Round 38,23/05/15,Barcelona,1,0,0,Deportivo,3,0,0,Carlos Clos Gomez,5.33,0.3,Spotify Camp Nou,"Barcelona, Spain",93743
Round 38,23/05/15,Celta,2,1,0,Espanyol,1,0,0,Carlos Del Cerro Grande,4.81,0.22,Municipal de Balaidos,"Vigo, Spain",18385
Round 38,23/05/15,Eibar,1,0,0,Córdoba,0,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Ipurua Municipal Stadium,"Eibar, Spain",6065
Round 38,23/05/15,Granada,0,0,0,Atl. Madrid,0,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",20848
Round 38,23/05/15,Málaga,2,1,0,Sevilla,2,0,0,Ignacio Iglesias Villanueva,5.62,0.35,La Rosaleda,"Malaga, Spain",23103
Round 38,23/05/15,Rayo Vallecano,1,0,0,Real Sociedad,1,0,0,Fernando Teixeira Vitienes,5.79,0.44,Estadio de Vallecas,"Madrid, Spain",9513
Round 38,23/05/15,Real Madrid,2,0,0,Getafe,2,0,0,Jose Antonio Teixeira Vitienes,6.56,0.44,Santiago Bernabéu,"Madrid, Spain",63769
Round 37,17/05/15,Atl. Madrid,5,0,0,Barcelona,3,0,0,Alberto Undiano,4.53,0.14,Vicente Calderón,"Madrid, Spain",53254
Round 37,17/05/15,Córdoba,0,0,0,Rayo Vallecano,0,0,0,Antonio Mateu Lahoz,5.18,0.22,Estadio Nuevo Arcángel,"Cordoba, Spain",7000
Round 37,17/05/15,Deportivo,3,0,0,Levante,2,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Riazor,"La Coruna, Spain",30251
Round 37,17/05/15,Elche,2,0,0,Athletic Club,2,0,0,Alejandro Hernandez,5.52,0.27,Estadio Martínez Valero,"Elche, Spain",22693
Round 37,17/05/15,Espanyol,2,0,0,Real Madrid,4,0,0,Juan Martinez Munuera,4.9,0.19,RCDE Stadium,"Cornella, Spain",30180
Round 37,17/05/15,Getafe,0,0,0,Eibar,2,0,0,Carlos Clos Gomez,5.33,0.3,Coliseum Alfonso Pérez,"Getafe, Spain",7200
Round 37,17/05/15,Real Sociedad,1,0,0,Granada,2,0,0,Javier Estrada Fernandez,5.38,0.25,Reale Arena,"San Sebastian, Spain",20644
Round 37,17/05/15,Sevilla,0,0,0,Almería,4,1,0,Inaki Vicandi Garrido,4.39,0.32,Ramón Sánchez Pizjuán,"Seville, Spain",32511
Round 37,17/05/15,Valencia,1,0,0,Celta,5,0,0,Jesus Gil Manzano,5.28,0.26,Mestalla,"Valencia, Spain",35000
Round 37,17/05/15,Villarreal,3,0,0,Málaga,1,0,0,Carlos Velasco Carballo,5.42,0.29,Estadio de la Ceramica,"Villarreal, Spain",19000
Round 36,08/05/15,Eibar,2,0,0,Espanyol,4,0,0,Jose Antonio Teixeira Vitienes,6.56,0.44,Ipurua Municipal Stadium,"Eibar, Spain",5648
Round 36,09/05/15,Granada,2,0,0,Córdoba,3,0,2,Fernando Teixeira Vitienes,5.79,0.44,Estadio Nuevo Los Carmenes,"Granada, Spain",19266
Round 36,09/05/15,Barcelona,1,0,0,Real Sociedad,5,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Spotify Camp Nou,"Barcelona, Spain",86047
Round 36,09/05/15,Real Madrid,4,0,0,Valencia,4,0,0,Carlos Clos Gomez,5.33,0.3,Santiago Bernabéu,"Madrid, Spain",79000
Round 36,09/05/15,Athletic Club,4,0,0,Deportivo,4,0,0,Jesus Gil Manzano,5.28,0.26,San Mamés,"Bilbao, Spain",39670
Round 36,10/05/15,Levante,2,0,0,Atl. Madrid,2,0,0,Alejandro Hernandez,5.52,0.27,Ciudad de Valencia,"Valencia, Spain",19314
Round 36,10/05/15,Villarreal,1,0,0,Elche,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Estadio de la Ceramica,"Villarreal, Spain",13629
Round 36,10/05/15,Almería,3,0,0,Málaga,4,0,0,Eduardo Prieto Iglesias,4.81,0.21,Estadio del Mediterráneo,"Almeria, Spain",10843
Round 36,10/05/15,Celta,3,0,0,Sevilla,5,0,0,Carlos Velasco Carballo,5.42,0.29,Municipal de Balaidos,"Vigo, Spain",18957
Round 36,11/05/15,Rayo Vallecano,2,1,0,Getafe,1,1,0,Pedro Jesus Perez Montero,5.26,0.25,Estadio de Vallecas,"Madrid, Spain",
Round 35,01/05/15,Real Sociedad,2,0,0,Levante,3,0,0,Carlos Del Cerro Grande,4.81,0.22,Reale Arena,"San Sebastian, Spain",18821
Round 35,02/05/15,Córdoba,1,0,0,Barcelona,0,0,0,Carlos Clos Gomez,5.33,0.3,Estadio Nuevo Arcángel,"Cordoba, Spain",13775
Round 35,02/05/15,Atl. Madrid,2,0,0,Athletic Club,3,0,1,Santiago Jaime Latre,5.58,0.22,Vicente Calderón,"Madrid, Spain",48452
Round 35,02/05/15,Sevilla,4,0,0,Real Madrid,2,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",39689
Round 35,02/05/15,Deportivo,1,0,0,Villarreal,5,0,0,Alejandro Hernandez,5.52,0.27,Riazor,"La Coruna, Spain",20817
Round 35,03/05/15,Espanyol,4,0,1,Rayo Vallecano,1,0,0,Fernando Teixeira Vitienes,5.79,0.44,RCDE Stadium,"Cornella, Spain",16479
Round 35,03/05/15,Getafe,3,0,0,Granada,4,0,0,Eduardo Prieto Iglesias,4.81,0.21,Coliseum Alfonso Pérez,"Getafe, Spain",
Round 35,03/05/15,Valencia,2,0,0,Eibar,1,0,0,Javier Estrada Fernandez,5.38,0.25,Mestalla,"Valencia, Spain",46958
Round 35,03/05/15,Málaga,3,0,0,Elche,1,1,0,Alberto Undiano,4.53,0.14,La Rosaleda,"Malaga, Spain",18714
Round 35,04/05/15,Almería,3,0,1,Celta,3,1,0,Jose Antonio Teixeira Vitienes,6.56,0.44,Estadio del Mediterráneo,"Almeria, Spain",10898
Round 34,28/04/15,Barcelona,0,0,0,Getafe,0,0,0,David Fernandez Borbalan,5.63,0.31,Spotify Camp Nou,"Barcelona, Spain",65356
Round 34,28/04/15,Athletic Club,2,0,0,Real Sociedad,2,1,0,Juan Martinez Munuera,4.9,0.19,San Mamés,"Bilbao, Spain",42322
Round 34,28/04/15,Levante,3,0,0,Córdoba,3,0,0,Jesus Gil Manzano,5.28,0.26,Ciudad de Valencia,"Valencia, Spain",14098
Round 34,29/04/15,Celta,2,0,0,Málaga,5,0,0,Alejandro Hernandez,5.52,0.27,Municipal de Balaidos,"Vigo, Spain",17205
Round 34,29/04/15,Eibar,3,0,0,Sevilla,2,0,0,Eduardo Prieto Iglesias,4.81,0.21,Ipurua Municipal Stadium,"Eibar, Spain",5517
Round 34,29/04/15,Real Madrid,1,0,0,Almería,0,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Santiago Bernabéu,"Madrid, Spain",63813
Round 34,29/04/15,Elche,1,0,0,Deportivo,2,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Estadio Martínez Valero,"Elche, Spain",19262
Round 34,29/04/15,Villarreal,0,0,0,Atl. Madrid,5,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Estadio de la Ceramica,"Villarreal, Spain",18725
Round 34,30/04/15,Rayo Vallecano,2,1,0,Valencia,1,1,0,Inaki Vicandi Garrido,4.39,0.32,Estadio de Vallecas,"Madrid, Spain",9960
Round 34,30/04/15,Granada,2,0,0,Espanyol,3,0,0,Carlos Velasco Carballo,5.42,0.29,Estadio Nuevo Los Carmenes,"Granada, Spain",15097
