Round,Date,HomeTeam,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 3,27/09/20,Valladolid,3,0,0,Celta,4,0,0,Jose Maria Sanchez Martinez,5.72,0.28,José Zorrilla,"Valladolid, Spain",
Round 3,27/09/20,Barcelona,0,0,0,Villarreal,1,0,0,Guillermo Cuadra Fernandez,5.03,0.27,Spotify Camp Nou,"Barcelona, Spain",
Round 2,19/09/20,Villarreal,1,0,0,Eibar,1,0,0,Jorge Figueroa Vazquez,4.79,0.35,Estadio de la Ceramica,"Villarreal, Spain",
Round 2,19/09/20,Getafe,4,0,0,Osasuna,2,0,0,Alejandro Hernandez,5.52,0.27,Coliseum Alfonso Pérez,"Getafe, Spain",
Round 2,19/09/20,Celta,3,0,0,Valencia,1,0,0,Jesus Gil Manzano,5.28,0.26,Municipal de Balaidos,"Vigo, Spain",
Round 2,20/09/20,Huesca,3,0,0,Cádiz,3,0,0,Cesar Soto Grado,5.47,0.19,El Alcoraz,"Huesca, Spain",
Round 2,20/09/20,Granada,0,0,0,Alavés,3,0,0,Carlos Del Cerro Grande,4.81,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",
Round 2,20/09/20,Betis,3,0,0,Valladolid,0,0,0,Santiago Jaime Latre,5.58,0.22,Benito Villamarin,"Seville, Spain",
Round 2,20/09/20,Real Sociedad,2,0,0,Real Madrid,2,0,0,Juan Martinez Munuera,4.9,0.19,Reale Arena,"San Sebastian, Spain",
Round 2,06/01/21,Athletic Club,2,0,0,Barcelona,1,0,0,Carlos Del Cerro Grande,4.81,0.22,San Mamés,"Bilbao, Spain",
Round 2,17/02/21,Levante,1,0,0,Atl. Madrid,3,0,0,José Luis Munuera Montero,4.75,0.37,Ciudad de Valencia,"Valencia, Spain",
Round 2,17/03/21,Sevilla,2,0,0,Elche,1,0,0,Javier Alberola Rojas,3.71,0.15,Ramón Sánchez Pizjuán,"Seville, Spain",
Round 1,12/09/20,Eibar,3,0,1,Celta,4,0,0,Valentin Pizarro Gomez,5.04,0.33,Ipurua Municipal Stadium,"Eibar, Spain",
Round 1,12/09/20,Granada,3,0,0,Athletic Club,4,0,0,Antonio Mateu Lahoz,5.18,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",
Round 1,12/09/20,Cádiz,2,0,0,Osasuna,2,0,0,Isidro Diaz de Mera Escuderos,6.35,0.35,Estadio Ramon de Carranza,"Cadiz, Spain",
Round 1,13/09/20,Alavés,3,0,0,Betis,3,0,0,Pablo Gonzales Fuertes,5.91,0.37,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",
Round 1,13/09/20,Valladolid,4,0,0,Real Sociedad,1,0,0,Mario Melero Lopez,5.52,0.21,José Zorrilla,"Valladolid, Spain",
Round 1,13/09/20,Villarreal,1,0,0,Huesca,1,0,0,Javier Estrada Fernandez,5.38,0.25,Estadio de la Ceramica,"Villarreal, Spain",
Round 1,13/09/20,Valencia,1,0,0,Levante,4,0,0,Jose Maria Sanchez Martinez,5.72,0.28,Mestalla,"Valencia, Spain",
Round 1,12/01/21,Atl. Madrid,2,0,0,Sevilla,0,0,0,Javier Estrada Fernandez,5.38,0.25,Cívitas Metropolitano,"Madrid, Spain",
Round 1,09/02/21,Real Madrid,1,0,0,Getafe,1,0,0,Javier Alberola Rojas,3.71,0.15,Estadio Alfredo di Stefano,"Madrid, Spain",
Round 1,24/02/21,Barcelona,0,0,0,Elche,0,0,0,Isidro Diaz de Mera Escuderos,6.35,0.35,Spotify Camp Nou,"Barcelona, Spain",
