AwayAerialswon,AwayBallpossession,AwayDuelswon,AwayFouls,AwayInterceptions,AwayPossessionlost,AwayTackles,AwayTeam,Date,HomeAerialswon,HomeBallpossession,HomeDuelswon,HomeFouls,HomeInterceptions,HomePossessionlost,HomeTackles,HomeTeam,Round
19,36%,51,11,9,123,11,Espanyol,4/5/2023,13,64%,48,15,10,139,12,Sevilla,Round 33
15,37%,57,7,16,128,16,Betis,4/5/2023,18,63%,57,13,7,171,14,Athletic Club,Round 33
12,49%,57,15,11,169,18,Real Valladolid,4/5/2023,13,51%,51,18,8,155,18,Rayo Vallecano,Round 33
20,49%,58,15,7,134,13,Real Sociedad,28/04/23,11,51%,47,12,5,157,9,Osasuna,Round 32
5,49%,32,16,8,131,11,Rayo Vallecano,29/04/23,9,51%,60,13,7,115,15,Elche,Round 32
1,32%,38,16,8,89,15,Almería,29/04/23,3,68%,48,12,10,100,15,Real Madrid,Round 32
10,33%,43,9,13,101,18,Betis,29/04/23,8,67%,31,10,5,125,11,Barcelona,Round 32
21,60%,68,10,11,156,17,Valencia,30/04/23,21,40%,65,14,13,138,25,Cádiz,Round 32
12,48%,47,11,9,121,9,Celta,30/04/23,6,52%,39,12,13,86,11,Villarreal,Round 32
22,43%,50,23,0,147,8,Getafe,30/04/23,22,57%,63,12,9,130,13,Espanyol,Round 32
6,43%,46,8,1,95,17,Atl. Madrid,30/04/23,9,57%,33,14,6,115,6,Real Valladolid,Round 32
19,70%,62,8,2,143,16,Athletic Club,1/5/2023,14,30%,47,17,8,126,12,Mallorca,Round 32
13,36%,52,11,5,127,10,Girona,1/5/2023,14,64%,58,14,5,130,23,Sevilla,Round 32
25,44%,56,15,4,134,13,Osasuna,25/04/23,17,56%,53,8,8,142,13,Cádiz,Round 31
6,72%,43,6,5,127,16,Real Madrid,25/04/23,1,28%,39,7,6,96,25,Girona,Round 31
28,42%,67,23,9,147,20,Real Sociedad,25/04/23,29,58%,73,13,5,159,18,Betis,Round 31
16,32%,56,9,8,147,20,Mallorca,26/04/23,21,68%,55,10,6,139,17,Atl. Madrid,Round 31
22,55%,60,9,7,143,12,Almería,26/04/23,41,45%,79,15,8,171,12,Getafe,Round 31
21,51%,62,12,12,142,22,Elche,26/04/23,15,49%,58,9,11,138,23,Celta,Round 31
12,60%,44,14,6,160,12,Barcelona,26/04/23,9,40%,50,10,6,137,22,Rayo Vallecano,Round 31
14,51%,50,17,8,127,15,Real Valladolid,27/04/23,12,49%,58,16,5,140,19,Valencia,Round 31
15,36%,50,10,6,98,20,Espanyol,27/04/23,4,64%,36,14,7,97,10,Villarreal,Round 31
20,45%,56,11,18,176,16,Sevilla,27/04/23,22,55%,63,8,5,177,26,Athletic Club,Round 31
22,43%,50,22,8,137,18,Cádiz,21/04/23,18,57%,62,8,0,140,18,Espanyol,Round 30
16,62%,62,13,8,143,14,Betis,22/04/23,13,38%,55,20,6,132,20,Osasuna,Round 30
25,47%,58,20,10,123,15,Athletic Club,22/04/23,11,53%,50,8,8,151,16,Almería,Round 30
17,39%,66,19,14,162,26,Rayo Vallecano,22/04/23,23,61%,73,18,11,174,14,Real Sociedad,Round 30
11,61%,53,9,4,146,15,Girona,22/04/23,13,39%,49,14,11,127,18,Real Valladolid,Round 30
5,34%,43,10,11,109,21,Celta,22/04/23,5,66%,49,10,11,118,15,Real Madrid,Round 30
13,34%,60,6,4,126,24,Valencia,23/04/23,21,66%,58,12,9,128,18,Elche,Round 30
12,38%,59,16,10,123,22,Atl. Madrid,23/04/23,17,62%,56,15,4,136,9,Barcelona,Round 30
18,51%,49,18,2,161,13,Getafe,23/04/23,34,49%,69,15,14,159,11,Mallorca,Round 30
15,62%,53,10,6,136,12,Villarreal,23/04/23,17,38%,47,12,11,132,12,Sevilla,Round 30
15,54%,65,16,12,159,15,Osasuna,14/04/23,8,46%,60,18,12,145,24,Rayo Vallecano,Round 29
10,30%,64,18,12,125,36,Real Valladolid,15/04/23,14,70%,60,9,3,151,16,Villarreal,Round 29
21,49%,71,14,9,164,26,Real Sociedad,15/04/23,20,51%,56,16,7,160,20,Athletic Club,Round 29
16,48%,47,13,9,125,19,Espanyol,15/04/23,14,52%,58,9,11,104,20,Betis,Round 29
12,69%,55,7,11,111,10,Real Madrid,15/04/23,13,31%,43,12,9,110,17,Cádiz,Round 29
10,52%,46,14,12,119,19,Elche,16/04/23,8,48%,42,9,3,127,20,Girona,Round 29
18,66%,47,12,4,142,10,Barcelona,16/04/23,10,34%,42,13,12,135,17,Getafe,Round 29
3,35%,36,8,8,114,16,Almería,16/04/23,6,65%,39,7,10,129,17,Atl. Madrid,Round 29
29,40%,68,17,10,141,22,Sevilla,16/04/23,16,60%,66,10,3,155,21,Valencia,Round 29
31,27%,71,19,10,142,18,Mallorca,17/04/23,18,73%,56,10,7,156,13,Celta,Round 29
13,70%,43,9,6,111,14,Celta,7/4/2023,13,30%,39,11,14,130,13,Sevilla,Round 28
18,38%,72,7,10,146,24,Elche,8/4/2023,20,62%,61,15,5,149,21,Osasuna,Round 28
